game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,4,SIRED,-----,5,5,CSS,OFTEN,Y-Y--,5,5,LLM,BOOTH,-YGGY,3.0,3.0,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
2,PARTY,True,5,AISLE,Y----,5,5,CSS,HUMAN,---Y-,5,5,LLM,PORTA,G-GGY,2.0,2.0,CSS,PORTS,G-GG-,2.0,2.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,3
3,TRICK,True,4,RANTS,Y--Y-,5,5,CSS,TROUT,GG---,3,3,LLM,TRIPE,GGG--,2.0,2.0,CSS,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
4,DIRTY,True,5,REALS,Y----,5,5,CSS,PROOF,-Y---,5,5,LLM,BIRCH,-GG--,3.0,3.0,CSS,KIRIN,-GG--,3.0,3.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS,,,,,,0
5,USUAL,True,4,ARSED,Y-Y--,5,5,CSS,TALES,-YY-Y,5,5,LLM,SHALL,Y-Y-G,4.0,3.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
6,TRULY,True,3,HALES,--Y--,5,5,CSS,WOULD,--GG-,3,3,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
7,SPENT,True,3,CARED,---Y-,5,5,CSS,THESE,Y-GY-,4,4,LLM,SPENT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
8,PAUSE,True,4,RACES,-G-YY,4,4,CSS,SABLE,YG--G,3,3,LLM,TASTE,-GY-G,3.0,3.0,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
9,CRAZY,True,4,ROLES,Y----,5,5,CSS,PARTY,-YY-G,4,4,LLM,GRADY,-GG-G,2.0,2.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
10,BASES,True,5,ANDES,Y--GG,3,3,CSS,MAKES,-G-GG,2,2,LLM,CATES,-G-GG,2.0,2.0,CSS,SAVES,YG-GG,2.0,2.0,LLM,BASES,GGGGG,0.0,0.0,CSS,,,,,,0
11,YOUNG,True,4,RAINE,---G-,4,4,CSS,MOONS,-G-G-,3,3,LLM,DOWNY,-G-GY,3.0,3.0,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
12,MEANS,True,6,DRIES,---YG,4,4,CSS,FEELS,-G--G,3,3,LLM,SEATS,-GG-G,2.0,2.0,CSS,BEAKS,-GG-G,2.0,2.0,LLM,JEANS,-GGGG,1.0,1.0,CSS,MEANS,GGGGG,0.0,0.0,LLM,0
13,TRUTH,True,3,TALES,G----,4,4,CSS,THING,GY---,4,4,LLM,TRUTH,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
14,FIRED,True,4,RATES,Y--G-,4,4,CSS,CREER,-Y-G-,4,4,LLM,MOREL,--GG-,3.0,3.0,CSS,FIRED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
15,FOLKS,True,4,SIREN,Y----,5,5,CSS,CLASS,-Y--G,4,4,LLM,BULLS,--G-G,3.0,3.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
16,CHILE,True,4,DALES,--YY-,5,4,CSS,CLEVE,GY--G,3,3,LLM,COYLE,G--GG,2.0,2.0,CSS,CHILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
17,BLACK,True,5,SAINT,-Y---,5,5,CSS,PLACE,-GGG-,2,2,LLM,FLACK,-GGGG,1.0,1.0,CSS,CLACK,-GGGG,1.0,1.0,LLM,BLACK,GGGGG,0.0,0.0,CSS,,,,,,0
18,GRANT,True,2,RAINE,YY-G-,4,3,CSS,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
19,MEALS,True,5,CAIRO,-Y---,5,5,CSS,START,Y-G--,4,4,LLM,LEADS,YGG-G,2.0,2.0,CSS,HEALS,-GGGG,1.0,1.0,LLM,MEALS,GGGGG,0.0,0.0,CSS,,,,,,1
20,CREAM,True,5,LEANS,-YY--,5,4,CSS,EAPER,YY--Y,5,5,LLM,TREAD,-GGG-,2.0,2.0,CSS,BREAM,-GGGG,1.0,1.0,LLM,CREAM,GGGGG,0.0,0.0,CSS,,,,,,0
21,AWAKE,True,5,AIRES,G--Y-,4,4,CSS,AGAVE,G-G-G,2,2,LLM,ABATE,G-G-G,2.0,2.0,CSS,AMAZE,G-G-G,2.0,2.0,LLM,AWAKE,GGGGG,0.0,0.0,CSS,,,,,,0
22,OCCUR,True,4,TRIES,-Y---,5,5,CSS,MORAL,-YY--,5,5,LLM,CHORD,Y-YY-,5.0,4.0,CSS,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
23,YEARS,True,4,TASER,-YYYY,5,5,CSS,REARS,-GGGG,1,1,LLM,FEARS,-GGGG,1.0,1.0,CSS,YEARS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
24,GRADE,True,4,AROSE,YG--G,3,3,CSS,WRONG,-G--Y,4,4,LLM,GRAZE,GGG-G,1.0,1.0,CSS,GRADE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
25,CHILL,True,5,HANES,Y----,5,5,CSS,INERT,Y----,5,5,LLM,CHILI,GGGG-,1.0,1.0,CSS,CHILD,GGGG-,1.0,1.0,LLM,CHILL,GGGGG,0.0,0.0,CSS,,,,,,3
26,FLOOD,True,3,SMEAR,-----,5,5,CSS,BLOCK,-GG--,3,3,LLM,FLOOD,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
27,APPLY,True,4,TASER,-Y---,5,5,CSS,OBAMA,--Y--,5,5,LLM,FINAL,---YY,5.0,5.0,CSS,APPLY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
28,SMILE,True,4,BALES,--YYY,5,4,CSS,SHELL,G-YG-,3,3,LLM,STOLE,G--GG,2.0,2.0,CSS,SMILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
29,KNOCK,True,4,EARNS,---Y-,5,5,CSS,MONTH,-YY--,5,5,LLM,UNION,-G-Y-,4.0,4.0,CSS,KNOCK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
30,SLEEP,True,4,RAPES,--YGY,4,4,CSS,SPEAR,GYG--,3,3,LLM,STEEP,G-GGG,1.0,1.0,CSS,SLEEP,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
31,BRICK,True,5,RINSE,YY---,5,4,CSS,THIRD,--GY-,4,4,LLM,CRIMP,YGG--,3.0,3.0,CSS,FRICK,-GGGG,1.0,1.0,LLM,BRICK,GGGGG,0.0,0.0,CSS,,,,,,0
32,WROTE,True,3,HARES,--YY-,5,5,CSS,TREND,YGY--,4,4,LLM,WROTE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
33,RATED,True,2,TASER,YG-GY,3,3,CSS,RATED,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
34,ALERT,True,3,NEARS,-YYG-,4,4,CSS,OPERA,--GGY,3,3,LLM,ALERT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
35,CAGES,False,6,TALES,-G-GG,2,2,CSS,MAKES,-G-GG,2,2,LLM,CARES,GG-GG,1.0,1.0,CSS,CAPES,GG-GG,1.0,1.0,LLM,CAVES,GG-GG,1.0,1.0,CSS,CASES,GG-GG,1.0,1.0,LLM,0
36,TEDDY,True,4,SLAIN,-----,5,5,CSS,ROUTE,---YY,5,5,LLM,TEMPT,GG---,3.0,3.0,CSS,TEDDY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
37,COLES,True,4,TENDS,-Y--G,4,4,CSS,BREES,---GG,3,3,LLM,SALES,--GGG,2.0,2.0,CSS,COLES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
38,HWANG,True,3,AGNES,YYY--,5,5,CSS,GRAND,Y-GG-,3,3,LLM,HWANG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
39,WRATH,True,4,ROLES,Y----,5,5,CSS,GUESS,-----,5,5,LLM,TIARA,Y-GY-,4.0,4.0,CSS,WRATH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
40,MACHO,True,4,HOARE,YYY--,5,5,CSS,OHOHO,---GG,3,3,LLM,NACHO,-GGGG,1.0,1.0,CSS,MACHO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
41,LOPEZ,True,3,PANES,Y--G-,4,4,CSS,COPED,-GGG-,2,2,LLM,LOPEZ,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
42,GOODY,True,4,CESAR,-----,5,5,CSS,SOLID,-G--Y,4,4,LLM,GOWDY,GG-GG,1.0,1.0,CSS,GOODY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
43,BROTH,True,4,AILES,-----,5,5,CSS,PHOTO,-YGG-,3,3,LLM,FROTH,-GGGG,1.0,1.0,CSS,BROTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
44,VERDE,True,5,TEARS,-G-Y-,4,4,CSS,VERSE,GGG-G,1,1,LLM,VERVE,GGG-G,1.0,1.0,CSS,VERGE,GGG-G,1.0,1.0,LLM,VERDE,GGGGG,0.0,0.0,CSS,,,,,,1
45,TAMED,True,4,ARNIE,Y---Y,5,5,CSS,PAGES,-G-G-,3,3,LLM,MATED,YGYGG,2.0,2.0,CSS,TAMED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
46,LEAFS,True,6,SORTA,Y---Y,5,5,CSS,BASED,-YYY-,5,5,LLM,LEAPS,GGG-G,1.0,1.0,CSS,LEAKS,GGG-G,1.0,1.0,LLM,LEANS,GGG-G,1.0,1.0,CSS,LEAFS,GGGGG,0.0,0.0,LLM,0
47,YACHT,True,4,REALS,--Y--,5,5,CSS,HAPPY,YG--Y,4,4,LLM,YAHYA,GGY--,3.0,3.0,CSS,YACHT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
48,MESSY,True,3,EARNS,Y---Y,5,5,CSS,ISSUE,-YG-Y,4,4,LLM,MESSY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
49,RYDER,True,6,ROSEN,G--G-,3,3,CSS,RICER,G--GG,2,2,LLM,RAZER,G--GG,2.0,2.0,CSS,RULER,G--GG,2.0,2.0,LLM,REFER,G--GG,2.0,2.0,CSS,RYDER,GGGGG,0.0,0.0,LLM,0
50,MOTIF,True,4,CRANE,-----,5,5,CSS,SOUTH,-G-Y-,4,4,LLM,VOMIT,-GYGY,3.0,3.0,CSS,MOTIF,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
51,RAVEN,True,4,MALES,-G-G-,3,3,CSS,WATER,-G-GY,3,3,LLM,RACED,GG-G-,2.0,2.0,CSS,RAVEN,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
52,REICH,True,4,REINS,GGG--,2,2,CSS,REIRS,GGG--,2,2,LLM,REIKI,GGG--,2.0,2.0,CSS,REICH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
53,ICONS,True,3,SONAR,YYY--,5,4,CSS,SONIC,YYYYY,5,4,LLM,ICONS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,3
54,SILKY,True,5,LEANS,Y---Y,5,5,CSS,SKULL,GY-Y-,4,4,LLM,SLICK,GYY-Y,4.0,3.0,CSS,SILLY,GGG-G,1.0,1.0,LLM,SILKY,GGGGG,0.0,0.0,CSS,,,,,,2
55,CARVE,True,4,REALS,YYY--,5,5,CSS,RAISE,YG--G,3,3,LLM,CARPE,GGG-G,1.0,1.0,CSS,CARVE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
56,LAGER,True,3,AIRED,Y-YG-,4,4,CSS,LATER,GG-GG,1,1,LLM,LAGER,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
57,JERKS,True,4,RENTS,YG--G,3,3,CSS,FEARS,-G-YG,3,3,LLM,HERBS,-GG-G,2.0,2.0,CSS,JERKS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
58,LOTUS,True,4,AISLE,--YY-,5,5,CSS,SLOWS,-YY-G,4,3,LLM,COLTS,-GYYG,3.0,3.0,CSS,LOTUS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
59,LACEY,True,4,RISEN,---G-,4,4,CSS,CODED,Y--G-,4,4,LLM,EXCEL,--GGY,3.0,3.0,CSS,LACEY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
60,TUDOR,True,5,LINES,-----,5,5,CSS,SNAKE,-----,5,5,LLM,BROTH,-YYY-,5.0,5.0,CSS,MOTOR,--YGG,3.0,3.0,LLM,TUDOR,GGGGG,0.0,0.0,CSS,,,,,,3
61,QUOTA,True,3,SIENA,----G,4,4,CSS,GOTTA,-Y-GG,3,3,LLM,QUOTA,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
62,MOURN,True,4,STAID,-----,5,5,CSS,WHOLE,--Y--,5,5,LLM,CORNY,-GYY-,4.0,3.0,CSS,MOURN,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
63,PROMO,True,4,LANES,-----,5,5,CSS,FUROR,--YY-,5,4,LLM,POTRO,GY-YG,3.0,3.0,CSS,PROMO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
64,CASTE,True,4,RATES,-GYYY,4,3,CSS,TASTE,-GGGG,1,1,LLM,HASTE,-GGGG,1.0,1.0,CSS,CASTE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
65,CAPRI,True,4,MOREL,--Y--,5,5,CSS,TRICK,-YYY-,5,5,LLM,CHAIR,G-YYY,4.0,3.0,CSS,CAPRI,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
66,ALIAS,True,4,TIRED,-Y---,5,5,CSS,CHINA,--G-Y,4,4,LLM,AMISS,G-G-G,2.0,2.0,CSS,ALIAS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
67,PADDY,True,4,PALEO,GG---,3,3,CSS,PARTY,GG--G,2,2,LLM,PAPPY,GG--G,2.0,2.0,CSS,PADDY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
68,BLOBS,True,5,CORES,-Y--G,4,4,CSS,ADIOS,---YG,4,4,LLM,SLOWS,-GG-G,2.0,2.0,CSS,PLOTS,-GG-G,2.0,2.0,LLM,BLOBS,GGGGG,0.0,0.0,CSS,,,,,,0
69,DILLY,True,4,RAKES,-----,5,5,CSS,MOUTH,-----,5,5,LLM,LINDY,YG-YG,3.0,3.0,CSS,DILLY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
70,GUTSY,True,4,BARNS,----Y,5,5,CSS,THESE,Y--G-,4,4,LLM,JITSU,--GGY,3.0,3.0,CSS,GUTSY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
71,TABOR,True,3,IRATE,-YYY-,5,5,CSS,ROTOR,--YGG,3,3,LLM,TABOR,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,1
72,INLAY,True,5,AROSE,Y----,5,5,CSS,THROW,-----,5,5,LLM,NADAL,Y--GY,4.0,4.0,CSS,MILAN,-YGGY,3.0,3.0,LLM,INLAY,GGGGG,0.0,0.0,CSS,,,,,,3
73,AHHHH,True,4,SENOR,-----,5,5,CSS,CHILD,-G---,4,4,LLM,BHATT,-GY--,4.0,4.0,CSS,AHHHH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
74,ROUEN,True,5,NOISE,YG--Y,4,4,CSS,MONEY,-GYG-,3,3,LLM,COWEN,-G-GG,2.0,2.0,CSS,LOREN,-GYGG,2.0,2.0,LLM,ROUEN,GGGGG,0.0,0.0,CSS,,,,,,0
75,BUENA,True,5,PAINS,-Y-G-,4,4,CSS,CHANT,--YG-,4,4,LLM,ALONG,Y--G-,4.0,4.0,CSS,VERNA,-Y-GG,3.0,3.0,LLM,BUENA,GGGGG,0.0,0.0,CSS,,,,,,0
76,MENON,True,3,STAND,---Y-,5,5,CSS,HONOR,--GG-,3,3,LLM,MENON,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
77,TRASK,True,3,DANES,-Y--Y,5,5,CSS,SHASA,--GG-,3,3,LLM,TRASK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
