game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,3,STEAL,-Y---,5,5,CSS,THUNK,YG---,4,4,LLM,PHOTO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
2,PARTY,True,2,ALIEN,Y----,5,5,CSS,PARTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
3,TRICK,True,4,RAGES,Y----,5,5,CSS,WORLD,--Y--,5,5,LLM,PRINT,-GG-Y,3.0,3.0,CSS,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
4,DIRTY,True,4,LIARS,-G-Y-,4,4,CSS,RIVER,YG---,4,4,LLM,BIRTH,-GGG-,2.0,2.0,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
5,USUAL,True,3,ELIAS,-Y-GY,4,4,CSS,SALAM,Y-YG-,4,4,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
6,TRULY,True,4,ATONE,-Y---,5,5,CSS,LIGHT,Y---Y,5,5,LLM,TULLY,GY-GG,2.0,2.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
7,SPENT,True,4,OATES,--YYY,5,5,CSS,STEMS,GYG--,3,3,LLM,SPELT,GGG-G,1.0,1.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
8,PAUSE,True,4,SARIN,YG---,4,4,CSS,AWAYS,Y---Y,5,4,LLM,LAPSE,-GYGG,2.0,2.0,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
9,CRAZY,True,4,CARES,GYY--,4,4,CSS,CHAIR,G-G-Y,3,3,LLM,CLARK,G-GY-,3.0,3.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
10,BASES,True,3,NEARS,-YY-G,4,4,CSS,SALES,YG-GG,2,2,LLM,BASES,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
11,YOUNG,True,4,EARLS,-----,5,5,CSS,POINT,-G-G-,3,3,LLM,DOWNY,-G-GY,3.0,3.0,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
12,MEANS,True,4,HARES,-Y-YG,4,4,CSS,SEAMS,-GGYG,2,2,LLM,MEALS,GGG-G,1.0,1.0,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
13,TRUTH,True,4,AISLE,-----,5,5,CSS,KNOWN,-----,5,5,LLM,THUMB,GYG--,3.0,3.0,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
14,FIRED,True,5,READS,YY-Y-,5,4,CSS,DRIVE,YYY-Y,5,4,LLM,WIERD,-GYYG,3.0,3.0,CSS,HIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,CSS,,,,,,0
15,FOLKS,True,3,DINAR,-----,5,5,CSS,BOOKS,-G-GG,2,2,LLM,FOLKS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
16,CHILE,True,4,SENOR,-Y---,5,5,CSS,PLACE,-Y-YG,4,4,LLM,LUCIE,Y-YYG,4.0,4.0,CSS,CHILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
17,BLACK,True,6,ROSIE,-----,5,5,CSS,HUMAN,---Y-,5,5,LLM,APTLY,Y--Y-,5.0,5.0,CSS,CLACK,-GGGG,1.0,1.0,LLM,FLACK,-GGGG,1.0,1.0,CSS,BLACK,GGGGG,0.0,0.0,LLM,0
18,GRANT,True,4,RANTS,YYYY-,5,2,CSS,TRAIN,YGG-Y,3,3,LLM,BRANT,-GGGG,1.0,1.0,CSS,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
19,MEALS,True,4,HANES,-Y-YG,4,4,CSS,SEARS,-GG-G,2,2,LLM,LEAKS,YGG-G,2.0,2.0,CSS,MEALS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
20,CREAM,True,5,SANTO,-Y---,5,5,CSS,LEAVE,-YY--,5,4,LLM,BREAD,-GGG-,2.0,2.0,CSS,FREAK,-GGG-,2.0,2.0,LLM,CREAM,GGGGG,0.0,0.0,CSS,,,,,,0
21,AWAKE,True,6,NORSE,----G,4,4,CSS,HOUSE,----G,4,4,LLM,AGILE,G---G,3.0,3.0,CSS,ABATE,G-G-G,2.0,2.0,LLM,AMAZE,G-G-G,2.0,2.0,CSS,AWAKE,GGGGG,0.0,0.0,LLM,2
22,OCCUR,True,3,RAMOS,Y--Y-,5,5,CSS,ORDER,G---G,3,3,LLM,OCCUR,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
23,YEARS,False,6,RENTS,YG--G,3,3,CSS,BEARS,-GGGG,1,1,LLM,HEARS,-GGGG,1.0,1.0,CSS,WEARS,-GGGG,1.0,1.0,LLM,MEARS,-GGGG,1.0,1.0,CSS,SEARS,-GGGG,1.0,1.0,LLM,0
24,GRADE,True,3,CARTE,-YY-G,4,4,CSS,AWARE,--GYG,3,3,LLM,GRADE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
25,CHILL,True,5,RAINE,--G--,4,4,CSS,STICK,--GY-,4,4,LLM,CHILI,GGGG-,1.0,1.0,CSS,CHILD,GGGG-,1.0,1.0,LLM,CHILL,GGGGG,0.0,0.0,CSS,,,,,,0
26,FLOOD,True,4,SHALE,---Y-,5,5,CSS,LIMBO,Y---Y,5,5,LLM,COLOR,-YYG-,4.0,4.0,CSS,FLOOD,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
