game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,4,STONE,-YG--,4,4,CSS,AFOOT,--GYY,4,4,LLM,TOOTH,-YGGY,3.0,3.0,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
2,PARTY,True,5,HALES,-G---,4,4,CSS,MARIA,-GG--,3,3,LLM,CARGO,-GG--,3.0,3.0,CSS,TARDY,YGG-G,2.0,2.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,0
3,TRICK,True,3,ERNST,-G--Y,4,4,CSS,TRAIL,GG-Y-,3,3,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
4,DIRTY,True,4,LASER,----Y,5,5,CSS,CORNY,--G-G,3,3,LLM,PURDY,--GYG,3.0,3.0,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
5,USUAL,True,3,SHEAR,Y--G-,4,4,CSS,ASLAN,-GYG-,3,3,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
6,TRULY,True,3,LIARS,Y--Y-,5,5,CSS,EULER,-YY-Y,5,4,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
7,SPENT,True,3,PEARS,YY--Y,5,4,CSS,SPELT,GGG-G,1,1,LLM,SPENT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
8,PAUSE,True,4,RATES,-G-YY,4,4,CSS,SALLE,YG--G,3,3,LLM,CAUSE,-GGGG,1.0,1.0,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
9,CRAZY,True,4,SLATE,--G--,4,4,CSS,DRAIN,-GG--,3,3,LLM,BRAGA,-GG--,3.0,3.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
10,BASES,True,5,ANSEL,Y-GG-,3,3,CSS,CASES,-GGGG,1,1,LLM,EASES,-GGGG,1.0,1.0,CSS,GASES,-GGGG,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,CSS,,,,,,0
11,YOUNG,True,4,RAINS,---G-,4,4,CSS,TONNE,-G-G-,3,3,LLM,DOWNY,-G-GY,3.0,3.0,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
12,MEANS,True,4,STARE,Y-G-Y,4,4,CSS,LEADS,-GG-G,2,2,LLM,BEANS,-GGGG,1.0,1.0,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
13,TRUTH,True,5,SABRE,---Y-,5,5,CSS,ORTON,-GY--,4,4,LLM,TRUDY,GGG--,2.0,2.0,CSS,TRUCK,GGG--,2.0,2.0,LLM,TRUTH,GGGGG,0.0,0.0,CSS,,,,,,0
14,FIRED,True,5,BEARS,-Y-Y-,5,5,CSS,PRICE,-YY-Y,5,4,LLM,DINER,YG-GY,3.0,3.0,CSS,MIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,CSS,,,,,,0
15,FOLKS,True,4,AROSE,--YY-,5,5,CSS,BOLTS,-GG-G,2,2,LLM,FOLDS,GGG-G,1.0,1.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
16,CHILE,True,3,CATER,G--Y-,4,4,CSS,CLOSE,GY--G,3,3,LLM,CHILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
17,BLACK,True,5,LASER,YY---,5,4,CSS,ALTON,YG---,4,4,LLM,FLACK,-GGGG,1.0,1.0,CSS,CLACK,-GGGG,1.0,1.0,LLM,BLACK,GGGGG,0.0,0.0,CSS,,,,,,0
18,GRANT,True,3,PEROT,--Y-G,4,4,CSS,CRIST,-G--G,3,3,LLM,GRANT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
19,MEALS,True,4,AIRES,Y--YG,4,4,CSS,DEALS,-GGGG,1,1,LLM,HEALS,-GGGG,1.0,1.0,CSS,MEALS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
20,CREAM,True,5,LIARS,--YY-,5,5,CSS,BARED,-YYY-,5,4,LLM,GREAT,-GGG-,2.0,2.0,CSS,WREAK,-GGG-,2.0,2.0,LLM,CREAM,GGGGG,0.0,0.0,CSS,,,,,,0
21,AWAKE,True,5,SAUER,-Y-Y-,5,4,CSS,NEALE,--G-G,3,3,LLM,AGATE,G-G-G,2.0,2.0,CSS,AMAZE,G-G-G,2.0,2.0,LLM,AWAKE,GGGGG,0.0,0.0,CSS,,,,,,0
22,OCCUR,True,3,AIRES,--Y--,5,5,CSS,ORTON,GY---,4,4,LLM,OCCUR,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
23,YEARS,True,6,TIRES,--YYG,4,4,CSS,BEARS,-GGGG,1,1,LLM,SEARS,-GGGG,1.0,1.0,CSS,HEARS,-GGGG,1.0,1.0,LLM,REARS,-GGGG,1.0,1.0,CSS,YEARS,GGGGG,0.0,0.0,LLM,0
24,GRADE,True,4,TASER,-Y-YY,5,4,CSS,BEARD,-YGYY,4,4,LLM,DRAKE,YGG-G,2.0,2.0,CSS,GRADE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
