game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,4,LANEY,-----,5,5,CSS,WORDS,-Y---,5,5,LLM,GITMO,--Y-G,4.0,4.0,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
2,PARTY,True,3,HATES,-GY--,4,4,CSS,TABBY,YG--G,3,3,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
3,TRICK,True,3,ALERT,---YY,5,5,CSS,WORDS,--Y--,5,5,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,1
4,DIRTY,True,2,DARES,G-G--,3,3,CSS,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
5,USUAL,True,4,ACRES,Y---Y,5,5,CSS,WORDS,----Y,5,5,LLM,SANTA,YY---,5.0,5.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
6,TRULY,True,3,LATER,Y-Y-Y,5,5,CSS,TRILL,GG-G-,2,2,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
7,SPENT,True,5,LACES,---YY,5,5,CSS,THOSE,Y--YY,5,5,LLM,STEIN,GYG-Y,3.0,3.0,CSS,TWICE,Y---Y,5.0,5.0,LLM,SPENT,GGGGG,0.0,0.0,CSS,,,,,,8
8,PAUSE,True,4,TALES,-G-YY,4,4,CSS,RAISE,-G-GG,2,2,LLM,CAUSE,-GGGG,1.0,1.0,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
9,CRAZY,True,4,SENOR,----Y,5,5,CSS,TRUTH,-G---,4,4,LLM,GRADY,-GG-G,2.0,2.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
10,BASES,False,6,SAYED,YG-G-,3,3,CSS,JAMES,-G-GG,2,2,LLM,CATES,-G-GG,2.0,2.0,CSS,PAGES,-G-GG,2.0,2.0,LLM,WAVES,-G-GG,2.0,2.0,CSS,FOCUS,----G,4.0,4.0,LLM,3
11,YOUNG,True,4,AIRES,-----,5,5,CSS,BLOOD,--Y--,5,5,LLM,TOUCH,-GG--,3.0,3.0,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
12,MEANS,True,4,LATER,-Y-Y-,5,5,CSS,PEPPA,-G--Y,4,4,LLM,BEADS,-GG-G,2.0,2.0,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
13,TRUTH,False,6,AIRES,--Y--,5,5,CSS,BASED,-----,5,5,LLM,GROOT,-G--Y,4.0,4.0,CSS,LEAST,----Y,5.0,5.0,LLM,TRUNK,GGG--,2.0,2.0,CSS,THEIR,GY--Y,4.0,4.0,LLM,14
14,FIRED,True,5,STOLE,----Y,5,5,CSS,BEING,-YY--,5,5,LLM,DIMER,YG-GY,3.0,3.0,CSS,HIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,CSS,,,,,,0
15,FOLKS,True,4,DARTS,----G,4,4,CSS,GUESS,----G,4,4,LLM,LOCKS,YG-GG,2.0,2.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
16,CHILE,True,5,LINER,YY-Y-,5,4,CSS,EMAIL,Y--YY,5,4,LLM,GLIDE,-YG-G,3.0,3.0,CSS,WHILE,-GGGG,1.0,1.0,LLM,CHILE,GGGGG,0.0,0.0,CSS,,,,,,0
17,BLACK,True,4,SIENA,----Y,5,5,CSS,TODAY,---Y-,5,5,LLM,CRAWL,Y-G-Y,4.0,4.0,CSS,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
18,GRANT,True,5,BATES,-YY--,5,5,CSS,TODAY,Y--Y-,5,5,LLM,APART,--GYG,3.0,3.0,CSS,GRAFT,GGG-G,1.0,1.0,LLM,GRANT,GGGGG,0.0,0.0,CSS,,,,,,0
19,MEALS,True,3,SOREN,Y--Y-,5,5,CSS,GUESS,--Y-G,4,4,LLM,MEALS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
20,CREAM,True,5,LIENS,--G--,4,4,CSS,WORDS,--Y--,5,5,LLM,CRETE,GGG--,2.0,2.0,CSS,CRAEM,GGYYG,2.0,2.0,LLM,CREAM,GGGGG,0.0,0.0,CSS,,,,,,3
21,AWAKE,True,4,REALS,-YG--,4,4,CSS,ADAGE,G-G-G,2,2,LLM,ABATE,G-G-G,2.0,2.0,CSS,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
