game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,4,DELTA,---G-,4,4,CSS,HOUSE,YY---,5,4,LLM,BROTH,--GGY,3.0,3.0,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
2,PARTY,True,5,ARNIE,YY---,5,4,CSS,BRINE,-Y---,5,5,LLM,CARTS,-GGG-,2.0,2.0,CSS,MARTY,-GGGG,1.0,1.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,5
3,TRICK,True,5,RISEN,YY---,5,4,CSS,PRIOR,-GG--,3,3,LLM,DRIFT,-GG-Y,3.0,3.0,CSS,TRIAL,GGG--,2.0,2.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,0
4,DIRTY,True,5,MEALS,-----,5,5,CSS,HOUSE,-----,5,5,LLM,DINKY,GG--G,2.0,2.0,CSS,DITTY,GG-GG,1.0,1.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS,,,,,,2
5,USUAL,True,4,AROSE,Y--Y-,5,5,CSS,HOUSE,--GY-,4,4,LLM,SAUNA,YYG--,4.0,4.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,4
6,TRULY,True,3,YEARS,Y--Y-,5,5,CSS,MURKY,-YY-G,4,4,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
7,SPENT,True,4,ARSED,--YY-,5,5,CSS,HOUSE,---YY,5,5,LLM,SPELT,GGG-G,1.0,1.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
8,PAUSE,True,4,LAINE,-G--G,3,3,CSS,HASTE,-GY-G,3,3,LLM,PARSE,GG-GG,1.0,1.0,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
9,CRAZY,True,5,LAUER,-Y--Y,5,5,CSS,HOUSE,-----,5,5,LLM,TRAIN,-GG--,3.0,3.0,CSS,CRACK,GGG--,2.0,2.0,LLM,CRAZY,GGGGG,0.0,0.0,CSS,,,,,,4
10,BASES,True,4,DIANE,--Y-Y,5,4,CSS,HOUSE,---YY,5,4,LLM,TASER,-GGG-,2.0,2.0,CSS,BASES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
11,YOUNG,True,4,LORNE,-G-G-,3,3,CSS,ROUND,-GGG-,2,2,LLM,MOUNT,-GGG-,2.0,2.0,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
12,MEANS,True,5,RITES,---YG,4,4,CSS,HOUSE,---YY,5,5,LLM,DEALS,-GG-G,2.0,2.0,CSS,BEANS,-GGGG,1.0,1.0,LLM,MEANS,GGGGG,0.0,0.0,CSS,,,,,,1
13,TRUTH,True,4,RAINE,Y----,5,5,CSS,TRAIN,GG---,3,3,LLM,TRUST,GGG-Y,2.0,2.0,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
14,FIRED,True,5,SCARE,---YY,5,4,CSS,SHARE,---YY,5,4,LLM,DRIER,YYYG-,4.0,4.0,CSS,TIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,CSS,,,,,,4
15,FOLKS,True,4,MARES,----G,4,4,CSS,HOUSE,-G-Y-,4,4,LLM,TOOLS,-G-YG,3.0,3.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
16,CHILE,True,5,SAREE,----G,4,4,CSS,HOUSE,Y---G,4,4,LLM,THYME,-G--G,3.0,3.0,CSS,WHILE,-GGGG,1.0,1.0,LLM,CHILE,GGGGG,0.0,0.0,CSS,,,,,,1
17,BLACK,True,4,RAIDS,-Y---,5,5,CSS,HOUSE,-----,5,5,LLM,BLANK,GGG-G,1.0,1.0,CSS,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
18,GRANT,True,4,SNARL,-YGY-,4,4,CSS,BRAIN,-GG-Y,3,3,LLM,CRANK,-GGG-,2.0,2.0,CSS,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
19,MEALS,True,5,LANES,YY-YG,4,4,CSS,HEALS,-GGGG,1,1,LLM,REALS,-GGGG,1.0,1.0,CSS,DEALS,-GGGG,1.0,1.0,LLM,MEALS,GGGGG,0.0,0.0,CSS,,,,,,0
20,CREAM,True,6,LANES,-Y-Y-,5,5,CSS,HOUSE,----Y,5,5,LLM,DEBRA,-Y-YY,5.0,5.0,CSS,TREAT,-GGG-,2.0,2.0,LLM,WREAK,-GGG-,2.0,2.0,CSS,CREAM,GGGGG,0.0,0.0,LLM,2
21,AWAKE,True,6,TALES,-Y-Y-,5,4,CSS,HOUSE,----G,4,4,LLM,GRADE,--G-G,3.0,3.0,CSS,PEACE,--G-G,3.0,3.0,LLM,KWAME,YGG-G,2.0,2.0,CSS,AWAKE,GGGGG,0.0,0.0,LLM,2
22,OCCUR,True,5,ROAST,YY---,5,5,CSS,TOAST,-Y---,5,5,LLM,DRONE,-YY--,5.0,5.0,CSS,VIGOR,---YG,4.0,4.0,LLM,OCCUR,GGGGG,0.0,0.0,CSS,,,,,,5
23,YEARS,False,6,SLATE,Y-G-Y,4,4,CSS,BEANS,-GG-G,2,2,LLM,PEARS,-GGGG,1.0,1.0,CSS,HEARS,-GGGG,1.0,1.0,LLM,FEARS,-GGGG,1.0,1.0,CSS,GEARS,-GGGG,1.0,1.0,LLM,0
24,GRADE,True,2,LEAPS,-YG--,4,4,CSS,GRADE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
25,CHILL,True,4,LONER,Y----,5,5,CSS,HOUSE,Y----,5,5,LLM,ALLAH,-YY-Y,5.0,5.0,CSS,CHILL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
26,FLOOD,True,3,RAISE,-----,5,5,CSS,HOUSE,-Y---,5,5,LLM,FLOOD,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,2
27,APPLY,True,4,ACRES,G----,4,4,CSS,ALLOT,GY---,4,4,LLM,ADVIL,G---Y,4.0,4.0,CSS,APPLY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
28,SMILE,True,4,REINS,-YG-Y,4,4,CSS,SPIKE,G-G-G,2,2,LLM,SLIME,GYGYG,2.0,2.0,CSS,SMILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
29,KNOCK,True,3,CANES,Y-Y--,5,5,CSS,KNICK,GG-GG,1,1,LLM,KNOCK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
30,SLEEP,True,3,ROLES,--YGY,4,4,CSS,SLEEK,GGGG-,1,1,LLM,SLEEP,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
31,BRICK,True,3,RAKES,Y-Y--,5,5,CSS,BROOK,GG--G,2,2,LLM,BRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
32,WROTE,True,3,WARES,G-YY-,4,4,CSS,WRITE,GG-GG,1,1,LLM,WROTE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
33,RATED,True,4,LASER,-G-GY,3,3,CSS,RARED,GG-GG,1,1,LLM,RAZED,GG-GG,1.0,1.0,CSS,RATED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
34,ALERT,True,4,RAINS,YY---,5,5,CSS,STAIN,-YY--,5,5,LLM,TETRA,YY-GY,4.0,4.0,CSS,ALERT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,4
35,CAGES,True,5,TASER,-GYG-,3,3,CSS,SALES,-G-GG,2,2,LLM,MAGES,-GGGG,1.0,1.0,CSS,PAGES,-GGGG,1.0,1.0,LLM,CAGES,GGGGG,0.0,0.0,CSS,,,,,,0
36,TEDDY,True,3,OATES,--YY-,5,5,CSS,TEPID,GG--Y,3,3,LLM,TEDDY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
37,COLES,True,5,SONAR,YG---,4,4,CSS,SHARE,Y---Y,5,5,LLM,DOMES,-G-GG,2.0,2.0,CSS,POLES,-GGGG,1.0,1.0,LLM,COLES,GGGGG,0.0,0.0,CSS,,,,,,4
38,HWANG,True,4,RAISE,-Y---,5,5,CSS,HOUSE,G----,4,4,LLM,HYMAN,G--YY,4.0,3.0,CSS,HWANG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
39,WRATH,True,4,ELIAS,---Y-,5,5,CSS,HOUSE,Y----,5,5,LLM,CHART,-YGYY,4.0,4.0,CSS,WRATH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
40,MACHO,True,4,DARTS,-G---,4,4,CSS,HEART,Y-Y--,5,5,LLM,MAHON,GGYY-,3.0,2.0,CSS,MACHO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
41,LOPEZ,True,4,EARNS,Y----,5,5,CSS,LEANS,GY---,4,4,LLM,LIVED,G--G-,3.0,3.0,CSS,LOPEZ,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
42,GOODY,True,4,ARISE,-----,5,5,CSS,HOUSE,-G---,4,4,LLM,LONGO,-G-YY,4.0,4.0,CSS,GOODY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
43,BROTH,True,5,GOALS,-Y---,5,5,CSS,HOUSE,YY---,5,5,LLM,RHINO,YY--Y,5.0,5.0,CSS,FROTH,-GGGG,1.0,1.0,LLM,BROTH,GGGGG,0.0,0.0,CSS,,,,,,2
44,VERDE,True,5,EARLS,Y-G--,4,4,CSS,TERRE,-GG-G,2,2,LLM,NERVE,-GGYG,2.0,2.0,CSS,VERGE,GGG-G,1.0,1.0,LLM,VERDE,GGGGG,0.0,0.0,CSS,,,,,,0
45,TAMED,True,3,SAUER,-G-G-,3,3,CSS,MALED,YG-GG,2,2,LLM,TAMED,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
46,LEAFS,True,6,CANES,-Y-YG,4,4,CSS,HEATS,-GG-G,2,2,LLM,REALS,-GGYG,2.0,2.0,CSS,LEAPS,GGG-G,1.0,1.0,LLM,LEADS,GGG-G,1.0,1.0,CSS,LEAFS,GGGGG,0.0,0.0,LLM,0
47,YACHT,True,3,SALEH,-G--Y,4,4,CSS,HABIT,YG--G,3,3,LLM,YACHT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
48,MESSY,True,4,CAINE,----Y,5,5,CSS,HOUSE,---GY,4,4,LLM,BREST,--YG-,4.0,4.0,CSS,MESSY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
49,RYDER,True,4,LEANS,-Y---,5,5,CSS,HOUSE,----Y,5,5,LLM,TRIED,-Y-GY,4.0,4.0,CSS,RYDER,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
50,MOTIF,True,5,COLES,-G---,4,4,CSS,HOUSE,-G---,4,4,LLM,DORAN,-G---,4.0,4.0,CSS,MOTTO,GGG--,2.0,2.0,LLM,MOTIF,GGGGG,0.0,0.0,CSS,,,,,,2
51,RAVEN,True,2,RAINE,GG-YY,3,3,CSS,RAVEN,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
52,REICH,True,2,ERICA,YYGG-,3,3,CSS,REICH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
53,ICONS,True,4,NORSE,YY-Y-,5,4,CSS,SLOAN,Y-G-Y,4,4,LLM,KNOWS,-YG-G,3.0,3.0,CSS,ICONS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
54,SILKY,True,4,ANISE,--YY-,5,5,CSS,HOUSE,---Y-,5,5,LLM,SILKS,GGGG-,1.0,1.0,CSS,SILKY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
55,CARVE,True,4,RITES,Y--Y-,5,5,CSS,HOUSE,----G,4,4,LLM,CADRE,GG-YG,2.0,2.0,CSS,CARVE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
56,LAGER,False,6,CASTE,-G--Y,4,4,CSS,HOUSE,----Y,5,5,LLM,RAKED,YG-G-,3.0,3.0,CSS,PAVER,-G-GG,2.0,2.0,LLM,FAMER,-G-GG,2.0,2.0,CSS,LAYER,GG-GG,1.0,1.0,LLM,3
57,JERKS,True,5,EARLS,Y-G-G,3,3,CSS,TIRES,--GYG,3,3,LLM,HERBS,-GG-G,2.0,2.0,CSS,PERKS,-GGGG,1.0,1.0,LLM,JERKS,GGGGG,0.0,0.0,CSS,,,,,,0
58,LOTUS,True,4,RAINE,-----,5,5,CSS,HOUSE,-GYY-,4,3,LLM,LOCUS,GG-GG,1.0,1.0,CSS,LOTUS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
59,LACEY,True,6,SHANE,--Y-Y,5,4,CSS,HOUSE,----Y,5,5,LLM,TAMER,-G-G-,3.0,3.0,CSS,PAVED,-G-G-,3.0,3.0,LLM,BABEL,-G-GY,3.0,3.0,CSS,LACEY,GGGGG,0.0,0.0,LLM,4
60,TUDOR,True,3,SOREN,-YY--,5,5,CSS,HOUSE,-YY--,5,5,LLM,TUDOR,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,4
61,QUOTA,True,4,LORNE,-Y---,5,5,CSS,HOUSE,-YY--,5,5,LLM,OUTDO,YGY--,4.0,4.0,CSS,QUOTA,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
62,MOURN,True,3,NOTES,YG---,4,4,CSS,ROUND,YGGY-,3,3,LLM,MOURN,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
63,PROMO,True,5,AIRES,--Y--,5,5,CSS,HOUSE,-Y---,5,5,LLM,ORTON,YG-Y-,4.0,4.0,CSS,PROVO,GGG-G,1.0,1.0,LLM,PROMO,GGGGG,0.0,0.0,CSS,,,,,,3
64,CASTE,True,3,KAINE,-G--G,3,3,CSS,TABLE,YG--G,3,3,LLM,CASTE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
65,CAPRI,True,4,REINS,Y-Y--,5,5,CSS,GRAIL,-YYY-,5,5,LLM,DIRAC,-YYYY,5.0,5.0,CSS,CAPRI,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
66,ALIAS,True,4,SAINT,YYG--,4,4,CSS,ARISE,G-GY-,3,3,LLM,ACIDS,G-G-G,2.0,2.0,CSS,ALIAS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
67,PADDY,True,5,DALES,YG---,4,4,CSS,HANDY,-G-GG,2,2,LLM,CADDY,-GGGG,1.0,1.0,CSS,MADDY,-GGGG,1.0,1.0,LLM,PADDY,GGGGG,0.0,0.0,CSS,,,,,,0
68,BLOBS,True,5,IRATE,-----,5,5,CSS,HOUSE,-Y-Y-,5,4,LLM,PLOWS,-GG-G,2.0,2.0,CSS,BLOCS,GGG-G,1.0,1.0,LLM,BLOBS,GGGGG,0.0,0.0,CSS,,,,,,1
69,DILLY,True,4,RAKES,-----,5,5,CSS,HOUSE,-----,5,5,LLM,LINDY,YG-YG,3.0,3.0,CSS,DILLY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
70,GUTSY,True,4,HEROS,----Y,5,5,CSS,HOUSE,--YG-,4,4,LLM,TUTSI,-GGG-,2.0,2.0,CSS,GUTSY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
71,TABOR,True,3,SALON,-G-G-,3,3,CSS,MAYOR,-G-GG,2,2,LLM,TABOR,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
72,INLAY,True,5,ARIES,Y-Y--,5,5,CSS,RAISE,-YY--,5,5,LLM,LINDA,YYY-Y,5.0,3.0,CSS,PLAIN,-YYYY,5.0,4.0,LLM,INLAY,GGGGG,0.0,0.0,CSS,,,,,,4
