game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,3,SHOVE,-GG--,3,3,VOI,THONG,YGG--,3,3,LLM,PHOTO,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
2,PARTY,True,4,SIENA,----Y,5,5,VOI,ABOUT,Y---Y,5,5,LLM,CATTY,-G-GG,2.0,2.0,VOI,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
3,TRICK,True,5,SNARE,---Y-,5,5,VOI,RIGHT,YY--Y,5,4,LLM,TRIPP,GGG--,2.0,2.0,VOI,TRICE,GGGG-,1.0,1.0,LLM,TRICK,GGGGG,0.0,0.0,VOI,,,,,,1
4,DIRTY,True,4,RAISE,Y-Y--,5,5,VOI,BIRCH,-GG--,3,3,LLM,GIRLY,-GG-G,2.0,2.0,VOI,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
5,USUAL,True,4,AIRES,Y---Y,5,5,VOI,SMALL,Y-Y-G,4,3,LLM,BASAL,--YGG,3.0,3.0,VOI,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
6,TRULY,True,5,RAISE,Y----,5,5,VOI,PROOF,-G---,4,4,LLM,TRUDY,GGG-G,1.0,1.0,VOI,TRUCE,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,VOI,,,,,,2
7,SPENT,True,5,REALS,-Y--Y,5,5,VOI,THESE,Y-GY-,4,4,LLM,STEIN,GYG-Y,3.0,3.0,VOI,SCENT,G-GGG,1.0,1.0,LLM,SPENT,GGGGG,0.0,0.0,VOI,,,,,,0
8,PAUSE,True,3,ANISE,Y--GG,3,3,VOI,CAUSE,-GGGG,1,1,LLM,PAUSE,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
9,CRAZY,False,6,NEARS,--GY-,4,4,VOI,CRAFT,GGG--,2,2,LLM,CRAMP,GGG--,2.0,2.0,VOI,CRAWL,GGG--,2.0,2.0,LLM,CRABB,GGG--,2.0,2.0,VOI,CRACK,GGG--,2.0,2.0,LLM,0
10,BASES,True,5,ARIES,Y--GG,3,3,VOI,MAKES,-G-GG,2,2,LLM,CATES,-G-GG,2.0,2.0,VOI,GASES,-GGGG,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,VOI,,,,,,0
