game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,3,HEROS,Y--Y-,5,4,VOI,CLOTH,--GGY,3,3,LLM,PHOTO,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
2,PARTY,True,4,SNARE,--YY-,5,4,VOI,MARIA,-GG--,3,3,LLM,TARDY,YGG-G,2.0,2.0,VOI,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
3,TRICK,True,4,ARIES,-GG--,3,3,VOI,PRINT,-GG-Y,3,3,LLM,FRITZ,-GGY-,3.0,3.0,VOI,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
4,DIRTY,True,4,LASER,----Y,5,5,VOI,TRICK,YYY--,5,5,LLM,FIRTH,-GGG-,2.0,2.0,VOI,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
5,USUAL,True,4,RAISE,-Y-Y-,5,5,VOI,SLANT,YYY--,5,4,LLM,LUCAS,YY-GY,4.0,4.0,VOI,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
6,TRULY,True,3,RATES,Y-Y--,5,5,VOI,DIRTY,--YYG,4,4,LLM,TRULY,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
7,SPENT,True,3,EARNS,Y--GY,4,4,VOI,STONE,GY-GY,3,3,LLM,SPENT,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
8,PAUSE,True,3,CARES,-G-YY,4,4,VOI,LAPSE,-GYGG,2,2,LLM,PAUSE,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
9,CRAZY,True,4,REAMS,Y-G--,4,4,VOI,DRAIN,-GG--,3,3,LLM,TRACY,-GGYG,2.0,2.0,VOI,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
10,BASES,True,6,ASTER,YY-G-,4,3,VOI,SALES,YG-GG,2,2,LLM,CASES,-GGGG,1.0,1.0,VOI,EASES,-GGGG,1.0,1.0,LLM,GASES,-GGGG,1.0,1.0,VOI,BASES,GGGGG,0.0,0.0,LLM,0
11,YOUNG,True,4,TEARS,-----,5,5,VOI,GOOCH,YG---,4,4,LLM,DOGGY,-GY-Y,4.0,4.0,VOI,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
12,MEANS,True,3,REALS,-GG-G,2,2,VOI,MEATS,GGG-G,1,1,LLM,MEANS,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
13,TRUTH,True,4,SNARE,---Y-,5,5,VOI,TRULY,GGG--,2,2,LLM,TRUMP,GGG--,2.0,2.0,VOI,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
14,FIRED,True,3,LASER,---GY,4,4,VOI,ERRED,--GGG,2,2,LLM,FIRED,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
15,FOLKS,True,5,LEANS,Y---G,4,4,VOI,SOILS,-G-YG,3,3,LLM,COLDS,-GG-G,2.0,2.0,VOI,BOLTS,-GG-G,2.0,2.0,LLM,FOLKS,GGGGG,0.0,0.0,VOI,,,,,,0
16,CHILE,True,3,AIRES,-Y-Y-,5,4,VOI,CLINE,GYG-G,2,2,LLM,CHILE,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
17,BLACK,True,3,RATES,-Y---,5,5,VOI,CHAIN,Y-G--,4,4,LLM,BLACK,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
18,GRANT,True,3,RAISE,YY---,5,4,VOI,CRAZY,-GG--,3,3,LLM,GRANT,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
19,MEALS,True,4,ARIES,Y--YG,4,4,VOI,MEANS,GGG-G,1,1,LLM,MEATS,GGG-G,1.0,1.0,VOI,MEALS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
20,CREAM,True,5,REALS,YYY--,5,3,VOI,MATER,YY-YY,5,5,LLM,BREAM,-GGGG,1.0,1.0,VOI,DREAM,-GGGG,1.0,1.0,LLM,CREAM,GGGGG,0.0,0.0,VOI,,,,,,0
21,AWAKE,True,4,ARIES,G--Y-,4,4,VOI,ANGLE,G---G,3,3,LLM,ABATE,G-G-G,2.0,2.0,VOI,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
22,OCCUR,True,5,AROSE,-YY--,5,5,VOI,NITRO,---YY,5,5,LLM,JORDY,-YY--,5.0,5.0,VOI,HUMOR,-Y-YG,4.0,4.0,LLM,OCCUR,GGGGG,0.0,0.0,VOI,,,,,,0
23,YEARS,True,3,AROSE,YY-YY,5,4,VOI,RATES,YY-YG,4,4,LLM,YEARS,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
24,GRADE,True,5,DALES,YY-Y-,5,4,VOI,ADOBE,YY--G,4,4,LLM,MEADE,--GGG,2.0,2.0,VOI,TRADE,-GGGG,1.0,1.0,LLM,GRADE,GGGGG,0.0,0.0,VOI,,,,,,0
25,CHILL,True,5,SIENA,-Y---,5,5,VOI,TRICK,--GY-,4,4,LLM,CHILI,GGGG-,1.0,1.0,VOI,CHILD,GGGG-,1.0,1.0,LLM,CHILL,GGGGG,0.0,0.0,VOI,,,,,,0
26,FLOOD,True,5,ARISE,-----,5,5,VOI,PHOTO,--G-Y,4,4,LLM,GOODY,-YGY-,4.0,3.0,VOI,BLOOD,-GGGG,1.0,1.0,LLM,FLOOD,GGGGG,0.0,0.0,VOI,,,,,,0
27,APPLY,True,5,EARNS,-Y---,5,5,VOI,BLACK,-YY--,5,5,LLM,AHOLD,G--G-,3.0,3.0,VOI,AMPLY,G-GGG,1.0,1.0,LLM,APPLY,GGGGG,0.0,0.0,VOI,,,,,,0
28,SMILE,True,3,RAISE,--GYG,3,3,VOI,SPINE,G-G-G,2,2,LLM,SMILE,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
29,KNOCK,True,4,AROSE,--G--,4,4,VOI,FLOOD,--G--,4,4,LLM,CHONG,Y-GY-,4.0,4.0,VOI,KNOCK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
30,SLEEP,True,4,ARIES,---GY,4,4,VOI,STEEN,G-GG-,2,2,LLM,SWEEP,G-GGG,1.0,1.0,VOI,SLEEP,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
31,BRICK,True,5,EARNS,--Y--,5,5,VOI,RICOH,YYY--,5,3,LLM,TRICK,-GGGG,1.0,1.0,VOI,CRICK,-GGGG,1.0,1.0,LLM,BRICK,GGGGG,0.0,0.0,VOI,,,,,,0
32,WROTE,True,4,SAUER,---YY,5,5,VOI,NOIRE,-Y-YG,4,4,LLM,TROPE,YGG-G,2.0,2.0,VOI,WROTE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
33,RATED,True,6,RAISE,GG--Y,3,3,VOI,RAZED,GG-GG,1,1,LLM,RAPED,GG-GG,1.0,1.0,VOI,RACED,GG-GG,1.0,1.0,LLM,RAKED,GG-GG,1.0,1.0,VOI,RATED,GGGGG,0.0,0.0,LLM,0
34,ALERT,True,4,ELIAS,YG-Y-,4,4,VOI,ALENE,GGG--,2,2,LLM,ALEXA,GGG--,2.0,2.0,VOI,ALERT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
35,CAGES,True,4,LASER,-GYG-,3,3,VOI,MAGES,-GGGG,1,1,LLM,SAGES,-GGGG,1.0,1.0,VOI,CAGES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
36,TEDDY,True,4,OATES,--YY-,5,5,VOI,TEETH,GG---,3,3,LLM,TEPID,GG--Y,3.0,3.0,VOI,TEDDY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
37,COLES,True,5,RAISE,---YY,5,5,VOI,SLEEP,YY-G-,4,4,LLM,MULES,--GGG,2.0,2.0,VOI,HOLES,-GGGG,1.0,1.0,LLM,COLES,GGGGG,0.0,0.0,VOI,,,,,,0
38,HWANG,True,5,EARNS,-Y-G-,4,4,VOI,LIANG,--GGG,2,2,LLM,ZHANG,-YGGG,2.0,2.0,VOI,HUANG,G-GGG,1.0,1.0,LLM,HWANG,GGGGG,0.0,0.0,VOI,,,,,,0
39,WRATH,True,3,HEARS,Y-GY-,4,4,VOI,GRAPH,-GG-G,2,2,LLM,WRATH,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
40,MACHO,True,3,RATES,-G---,4,4,VOI,MANIA,GG---,3,3,LLM,MACHO,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
41,LOPEZ,True,4,MARES,---G-,4,4,VOI,OLDEN,YY-G-,4,4,LLM,VOWEL,-G-GY,3.0,3.0,VOI,LOPEZ,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
42,GOODY,True,4,LASER,-----,5,5,VOI,CHONG,--G-Y,4,4,LLM,GOOFY,GGG-G,1.0,1.0,VOI,GOODY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
43,BROTH,True,3,RAISE,Y----,5,5,VOI,LURCH,--Y-G,4,4,LLM,BROTH,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
44,VERDE,True,5,RAISE,Y---G,4,4,VOI,WROTE,-Y--G,4,4,LLM,NERVE,-GGYG,2.0,2.0,VOI,VERGE,GGG-G,1.0,1.0,LLM,VERDE,GGGGG,0.0,0.0,VOI,,,,,,0
45,TAMED,True,5,ELIAS,Y--Y-,5,5,VOI,TRADE,G-YYY,4,3,LLM,TAPED,GG-GG,1.0,1.0,VOI,TAXED,GG-GG,1.0,1.0,LLM,TAMED,GGGGG,0.0,0.0,VOI,,,,,,0
46,LEAFS,False,6,AROSE,Y--YY,5,5,VOI,BASES,-Y-YG,4,4,LLM,MEATS,-GG-G,2.0,2.0,VOI,DEANS,-GG-G,2.0,2.0,LLM,HEAPS,-GG-G,2.0,2.0,VOI,LEAKS,GGG-G,1.0,1.0,LLM,0
47,YACHT,True,4,ELIAS,---Y-,5,5,VOI,HWANG,Y-Y--,5,5,LLM,MACHO,-GGG-,2.0,2.0,VOI,YACHT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
48,MESSY,True,3,REALS,-G--Y,4,4,VOI,SEINE,YG---,4,4,LLM,MESSY,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
49,RYDER,True,4,LEANS,-Y---,5,5,VOI,FIRED,--YGY,4,4,LLM,RODEO,G-GG-,2.0,2.0,VOI,RYDER,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
50,MOTIF,True,4,RAISE,--Y--,5,5,VOI,LOGIN,-G-G-,3,3,LLM,COVID,-G-G-,3.0,3.0,VOI,MOTIF,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
51,RAVEN,True,2,ANISE,YY--Y,5,5,VOI,RAVEN,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
52,REICH,True,4,NEARS,-G-Y-,4,4,VOI,VERDE,-GY--,4,4,LLM,REMIT,GG-Y-,3.0,3.0,VOI,REICH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
53,ICONS,True,4,RAISE,--YY-,5,5,VOI,MILLS,-Y--G,4,4,LLM,KUNIS,--YYG,4.0,4.0,VOI,ICONS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
54,SILKY,True,4,AROSE,---Y-,5,5,VOI,SPILT,G-YY-,4,3,LLM,SILKS,GGGG-,1.0,1.0,VOI,SILKY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
55,CARVE,True,5,OATES,-G-Y-,4,4,VOI,FAIRE,-G-YG,3,3,LLM,MARGE,-GG-G,2.0,2.0,VOI,CARPE,GGG-G,1.0,1.0,LLM,CARVE,GGGGG,0.0,0.0,VOI,,,,,,0
56,LAGER,False,6,AIRES,Y-YG-,4,4,VOI,RAVEN,YG-G-,3,3,LLM,EATER,-G-GG,2.0,2.0,VOI,FAMER,-G-GG,2.0,2.0,LLM,PAGER,-GGGG,1.0,1.0,VOI,WAGER,-GGGG,1.0,1.0,LLM,0
57,JERKS,True,4,READS,YG--G,3,3,VOI,HERBS,-GG-G,2,2,LLM,PERKS,-GGGG,1.0,1.0,VOI,JERKS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
58,LOTUS,True,4,ARIES,----G,4,4,VOI,FOLKS,-GY-G,3,3,LLM,TOOLS,YG-YG,3.0,3.0,VOI,LOTUS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
59,LACEY,True,5,RATES,-G-G-,3,3,VOI,GALEN,-GYG-,3,3,LLM,LABEL,GG-G-,2.0,2.0,VOI,LACED,GGGG-,1.0,1.0,LLM,LACEY,GGGGG,0.0,0.0,VOI,,,,,,0
60,TUDOR,True,5,ARISE,-Y---,5,5,VOI,LURCH,-GY--,4,4,LLM,RUMOR,-G-GG,2.0,2.0,VOI,TUTOR,GG-GG,1.0,1.0,LLM,TUDOR,GGGGG,0.0,0.0,VOI,,,,,,0
61,QUOTA,True,5,ASTER,Y-Y--,5,5,VOI,YACHT,-Y--Y,5,5,LLM,TWANG,Y-Y--,5.0,5.0,VOI,VOLTA,-Y-GG,3.0,3.0,LLM,QUOTA,GGGGG,0.0,0.0,VOI,,,,,,0
62,MOURN,True,4,ELIAS,-----,5,5,VOI,TUDOR,-Y-YY,5,5,LLM,FORUM,-GYYY,4.0,4.0,VOI,MOURN,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
63,PROMO,True,4,RATES,Y----,5,5,VOI,CORFU,-YY--,5,5,LLM,ORION,YG-Y-,4.0,4.0,VOI,PROMO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
64,CASTE,True,6,EARLS,YG--Y,4,4,VOI,PAUSE,-G-YG,3,3,LLM,HASTE,-GGGG,1.0,1.0,VOI,WASTE,-GGGG,1.0,1.0,LLM,TASTE,-GGGG,1.0,1.0,VOI,CASTE,GGGGG,0.0,0.0,LLM,0
65,CAPRI,True,5,AROSE,YY---,5,5,VOI,DARTH,-GY--,4,4,LLM,LAZAR,-G--Y,4.0,4.0,VOI,RABBI,YG--G,3.0,3.0,LLM,CAPRI,GGGGG,0.0,0.0,VOI,,,,,,0
66,ALIAS,True,4,LASER,YYY--,5,4,VOI,USUAL,-Y-GY,4,4,LLM,ATLAS,G-YGG,2.0,2.0,VOI,ALIAS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
67,PADDY,True,4,MARES,-G---,4,4,VOI,CANAL,-G---,4,4,LLM,HABIB,-G---,4.0,4.0,VOI,PADDY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
