game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,5,MINTS,---G-,4,4,VOI,GIVEN,-----,5,5,LLM,LOTTA,-Y-G-,4.0,4.0,VOI,PROTO,G-GGG,1.0,1.0,LLM,PHOTO,GGGGG,0.0,0.0,VOI,,,,,,3
2,PARTY,True,5,AROSE,YY---,5,4,VOI,LATER,-GY-Y,4,4,LLM,DARTH,-GGG-,2.0,2.0,VOI,GUESS,-----,5.0,5.0,LLM,PARTY,GGGGG,0.0,0.0,VOI,,,,,,9
3,TRICK,True,4,EARLS,--Y--,5,5,VOI,COULD,Y----,5,5,LLM,PRICK,-GGGG,1.0,1.0,VOI,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
4,DIRTY,True,4,REINA,Y-Y--,5,5,VOI,LYRIC,-YGY-,4,4,LLM,BIRDY,-GGYG,2.0,2.0,VOI,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
5,USUAL,True,4,ARISE,Y--Y-,5,5,VOI,NARRE,-Y---,5,5,LLM,SLATS,YYY--,5.0,4.0,VOI,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
6,TRULY,True,3,LASER,Y---Y,5,5,VOI,GROWL,-G--Y,4,4,LLM,TRULY,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
7,SPENT,True,4,AROSE,---YY,5,5,VOI,SOLAR,G----,4,4,LLM,STEED,GYG--,3.0,3.0,VOI,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,4
8,PAUSE,True,3,EARNS,YG--Y,4,4,VOI,BASED,-GYY-,4,3,LLM,PAUSE,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
9,CRAZY,True,4,SIENA,----Y,5,5,VOI,TREAT,-G-Y-,4,4,LLM,GRADY,-GG-G,2.0,2.0,VOI,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
10,BASES,True,4,EARLS,YG--G,3,3,VOI,HATES,-G-GG,2,2,LLM,CASES,-GGGG,1.0,1.0,VOI,BASES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
11,YOUNG,True,4,AROSE,--Y--,5,5,VOI,COULD,-GG--,3,3,LLM,YOUTH,GGG--,2.0,2.0,VOI,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
12,MEANS,True,4,AILES,Y--YG,4,4,VOI,BEANS,-GGGG,1,1,LLM,JEANS,-GGGG,1.0,1.0,VOI,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
13,TRUTH,True,4,RAISE,Y----,5,5,VOI,CAUSE,--G--,4,4,LLM,TRULY,GGG--,2.0,2.0,VOI,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,4
14,FIRED,True,4,OATES,---G-,4,4,VOI,GUESS,--Y--,5,5,LLM,RILED,YG-GG,2.0,2.0,VOI,FIRED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
15,FOLKS,True,6,OATES,Y---G,4,4,VOI,GUESS,----G,4,4,LLM,DORIS,-G--G,3.0,3.0,VOI,MOCKS,-G-GG,2.0,2.0,LLM,YOLKS,-GGGG,1.0,1.0,VOI,FOLKS,GGGGG,0.0,0.0,LLM,2
16,CHILE,True,4,RAINE,--G-G,3,3,VOI,TWICE,--GYG,3,3,LLM,CHIME,GGG-G,1.0,1.0,VOI,CHILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
