game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,4,PAGET,G---Y,4,4,VOI,PORTS,GY-G-,3,3,LLM,PLUTO,G--GG,2.0,2.0,VOI,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
2,PARTY,True,5,OATES,-GY--,4,4,VOI,TAINT,YG---,4,4,LLM,MARTA,-GGG-,2.0,2.0,VOI,DARTH,-GGG-,2.0,2.0,LLM,PARTY,GGGGG,0.0,0.0,VOI,,,,,,0
3,TRICK,True,5,READS,Y----,5,5,VOI,STARE,-Y-Y-,5,5,LLM,PROTO,-G-Y-,4.0,4.0,VOI,TRUNK,GG--G,2.0,2.0,LLM,TRICK,GGGGG,0.0,0.0,VOI,,,,,,3
4,DIRTY,True,4,EARLS,--G--,4,4,VOI,FORUM,--G--,4,4,LLM,BIRTH,-GGG-,2.0,2.0,VOI,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
5,USUAL,True,4,ARISE,Y--Y-,5,5,VOI,CLOUD,-Y-Y-,5,5,LLM,GAULS,-YGYY,4.0,4.0,VOI,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
6,TRULY,True,5,EARNS,--Y--,5,5,VOI,STARE,-Y-Y-,5,5,LLM,TRICK,GG---,3.0,3.0,VOI,TROLL,GG-G-,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,VOI,,,,,,3
7,SPENT,True,4,ARIES,---YY,5,5,VOI,SHORE,G---Y,4,4,LLM,SPELT,GGG-G,1.0,1.0,VOI,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
8,PAUSE,True,2,RAISE,-G-GG,2,2,VOI,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
9,CRAZY,True,3,NEARS,--GY-,4,4,VOI,TRACK,-GGY-,3,3,LLM,CRAZY,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
10,BASES,True,4,SIENA,Y-Y-Y,5,5,VOI,ROATE,--Y-Y,5,4,LLM,CASED,-GGG-,2.0,2.0,VOI,BASES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
