game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,4,PRUNE,G----,4,4,VOI,PLATE,G--G-,3,3,LLM,POSTS,GY-G-,3.0,3.0,VOI,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
2,PARTY,True,4,SCARE,--YY-,5,4,VOI,RAMAN,YG---,4,4,LLM,TABOR,YG--Y,4.0,4.0,VOI,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
3,TRICK,True,3,TEARS,G--Y-,4,4,VOI,TUTOR,G---Y,4,4,LLM,TRICK,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
4,DIRTY,True,3,ARIES,-YY--,5,5,VOI,RICKY,YG--G,3,3,LLM,DIRTY,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
5,USUAL,True,5,ARIES,Y---Y,5,5,VOI,ZEBRA,----Y,5,5,LLM,PALSY,-YYY-,5.0,5.0,VOI,SHAWL,Y-Y-G,4.0,3.0,LLM,USUAL,GGGGG,0.0,0.0,VOI,,,,,,3
6,TRULY,True,6,EARNS,--Y--,5,5,VOI,EARTH,--YY-,5,5,LLM,TRICK,GG---,3.0,3.0,VOI,TROUT,GG-Y-,3.0,3.0,LLM,TRUDY,GGG-G,1.0,1.0,VOI,TRULY,GGGGG,0.0,0.0,LLM,3
7,SPENT,True,4,RAISE,---YY,5,5,VOI,TEENS,Y-GGY,3,3,LLM,SCENT,G-GGG,1.0,1.0,VOI,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
8,PAUSE,True,3,SNARE,Y-Y-G,4,4,VOI,LAPSE,-GYGG,2,2,LLM,PAUSE,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
9,CRAZY,True,5,EARNS,-YY--,5,5,VOI,STARS,--GY-,4,4,LLM,BRAID,-GG--,3.0,3.0,VOI,GRAPH,-GG--,3.0,3.0,LLM,CRAZY,GGGGG,0.0,0.0,VOI,,,,,,1
10,BASES,False,6,AROSE,Y--YY,5,4,VOI,ARISE,Y--YY,5,4,LLM,SEALS,YYY-G,4.0,4.0,VOI,GASES,-GGGG,1.0,1.0,LLM,CASES,-GGGG,1.0,1.0,VOI,EASES,-GGGG,1.0,1.0,LLM,4
