game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,4,FARMS,-----,5,5,VOI,LINED,-----,5,5,LLM,BUTCH,--Y-Y,5.0,5.0,VOI,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
2,PARTY,True,4,LASER,-G--Y,4,4,VOI,MARIA,-GG--,3,3,LLM,TARDY,YGG-G,2.0,2.0,VOI,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
3,TRICK,True,4,AROSE,-G---,4,4,VOI,PRINT,-GG-Y,3,3,LLM,FRITZ,-GGY-,3.0,3.0,VOI,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
4,DIRTY,True,4,ELISA,--Y--,5,5,VOI,TONIC,Y--Y-,5,5,LLM,WITTY,-G-GG,2.0,2.0,VOI,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
5,USUAL,True,4,AROSE,Y--Y-,5,5,VOI,TAILS,-Y-YY,5,5,LLM,SLACK,YYY--,5.0,4.0,VOI,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
6,TRULY,True,3,SNARE,---Y-,5,5,VOI,TRICK,GG---,3,3,LLM,TRULY,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
7,SPENT,True,4,RAISE,---YY,5,5,VOI,TEENS,Y-GGY,3,3,LLM,SCENT,G-GGG,1.0,1.0,VOI,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
8,PAUSE,True,3,EARLS,YG--Y,4,4,VOI,CASED,-GYY-,4,3,LLM,PAUSE,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
9,CRAZY,False,6,EARNS,-YY--,5,5,VOI,CIARA,G-GY-,3,3,LLM,CRACK,GGG--,2.0,2.0,VOI,CRAFT,GGG--,2.0,2.0,LLM,CRAWL,GGG--,2.0,2.0,VOI,CRABB,GGG--,2.0,2.0,LLM,0
10,BASES,True,5,TASER,-GGG-,2,2,VOI,CASED,-GGG-,2,2,LLM,KASEY,-GGG-,2.0,2.0,VOI,EASEL,-GGG-,2.0,2.0,LLM,BASES,GGGGG,0.0,0.0,VOI,,,,,,0
11,YOUNG,True,4,REALS,-----,5,5,VOI,PHOTO,--Y--,5,5,LLM,BONDI,-GY--,4.0,4.0,VOI,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
12,MEANS,True,4,ARIES,Y--YG,4,4,VOI,DEALS,-GG-G,2,2,LLM,TEAMS,-GGYG,2.0,2.0,VOI,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
13,TRUTH,True,4,TEARS,G--Y-,4,4,VOI,TRULY,GGG--,2,2,LLM,TRUMP,GGG--,2.0,2.0,VOI,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
14,FIRED,True,5,REALS,YY---,5,5,VOI,TRIED,-YYGG,3,3,LLM,MIRED,-GGGG,1.0,1.0,VOI,WIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,VOI,,,,,,0
15,FOLKS,True,4,AROSE,--YY-,5,5,VOI,COLTS,-GG-G,2,2,LLM,FOLDS,GGG-G,1.0,1.0,VOI,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
16,CHILE,True,4,EARNS,Y----,5,5,VOI,DOLCE,--YYG,4,4,LLM,CLIVE,GYG-G,2.0,2.0,VOI,CHILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
17,BLACK,True,4,REAMS,--G--,4,4,VOI,ALAIN,-GG--,3,3,LLM,FLAKY,-GGY-,3.0,3.0,VOI,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
18,GRANT,True,4,RAISE,YY---,5,4,VOI,TRACY,YGG--,3,3,LLM,GRAFT,GGG-G,1.0,1.0,VOI,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
19,MEALS,True,3,STARE,Y-G-Y,4,4,VOI,MEANS,GGG-G,1,1,LLM,MEALS,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
20,CREAM,True,4,RATES,YY-Y-,5,5,VOI,GRADE,-GY-Y,4,4,LLM,BREAK,-GGG-,2.0,2.0,VOI,CREAM,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
21,AWAKE,True,4,ASTER,G--Y-,4,4,VOI,ALINE,G---G,3,3,LLM,ADAGE,G-G-G,2.0,2.0,VOI,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
22,OCCUR,True,4,READS,Y----,5,5,VOI,TRUTH,-YY--,5,5,LLM,INCUR,--GGG,2.0,2.0,VOI,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
23,YEARS,True,3,RAISE,YY-YY,5,4,VOI,AYERS,YYYGG,3,2,LLM,YEARS,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
24,GRADE,True,3,EARLS,YYY--,5,5,VOI,CREAM,-GYY-,4,4,LLM,GRADE,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
25,CHILL,True,3,REALS,---G-,4,4,VOI,HOLLY,Y-YG-,4,3,LLM,CHILL,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
26,FLOOD,True,4,LANES,Y----,5,5,VOI,CHILL,---Y-,5,5,LLM,FLOUR,GGG--,2.0,2.0,VOI,FLOOD,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
27,APPLY,True,5,AILES,G-Y--,4,4,VOI,ALANA,GY---,4,4,LLM,AFOUL,G---Y,4.0,4.0,VOI,APTLY,GG-GG,1.0,1.0,LLM,APPLY,GGGGG,0.0,0.0,VOI,,,,,,0
28,SMILE,True,3,SNARE,G---G,3,3,VOI,STIPE,G-G-G,2,2,LLM,SMILE,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
29,KNOCK,True,4,AROSE,--G--,4,4,VOI,FLOOD,--G--,4,4,LLM,CHOCK,--GGG,2.0,2.0,VOI,KNOCK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
30,SLEEP,True,3,SNARE,G---Y,4,4,VOI,SPELT,GYGY-,3,3,LLM,SLEEP,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
31,BRICK,True,6,AIRES,-YY--,5,5,VOI,INCUR,Y-Y-Y,5,5,LLM,TRICK,-GGGG,1.0,1.0,VOI,FRICK,-GGGG,1.0,1.0,LLM,PRICK,-GGGG,1.0,1.0,VOI,BRICK,GGGGG,0.0,0.0,LLM,0
32,WROTE,True,3,AIRES,--YY-,5,5,VOI,TRUCE,YG--G,3,3,LLM,WROTE,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
33,RATED,True,2,RATES,GGGG-,1,1,VOI,RATED,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
34,ALERT,True,3,AROSE,GY--Y,4,4,VOI,AVERY,G-GG-,2,2,LLM,ALERT,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
35,CAGES,True,4,TEARS,-YY-G,4,4,VOI,BASES,-G-GG,2,2,LLM,MALES,-G-GG,2.0,2.0,VOI,CAGES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
36,TEDDY,True,3,NEARS,-G---,4,4,VOI,LEYTE,-GYY-,4,4,LLM,TEDDY,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
37,COLES,True,3,EARLS,Y--YG,4,4,VOI,SOLES,-GGGG,1,1,LLM,COLES,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
38,HWANG,True,5,ARIES,Y----,5,5,VOI,BLACK,--G--,4,4,LLM,THANG,-YGGG,2.0,2.0,VOI,HUANG,G-GGG,1.0,1.0,LLM,HWANG,GGGGG,0.0,0.0,VOI,,,,,,0
39,WRATH,True,3,AISLE,Y----,5,5,VOI,HAUNT,YY--Y,5,5,LLM,WRATH,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
40,MACHO,True,3,EARLS,-G---,4,4,VOI,MANIA,GG---,3,3,LLM,MACHO,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
41,LOPEZ,True,4,ELIAS,YY---,5,5,VOI,CYCLE,---YY,5,5,LLM,BEVEL,---GY,4.0,4.0,VOI,LOPEZ,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
42,GOODY,True,5,EARNS,-----,5,5,VOI,COLBY,-G--G,3,3,LLM,DODGY,YG-YG,3.0,3.0,VOI,GOWDY,GG-GG,1.0,1.0,LLM,GOODY,GGGGG,0.0,0.0,VOI,,,,,,0
43,BROTH,True,6,ROLES,YY---,5,4,VOI,OCCUR,Y---Y,5,5,LLM,DARIO,--Y-Y,5.0,5.0,VOI,TROOP,YGG--,3.0,3.0,LLM,FRONT,-GG-Y,3.0,3.0,VOI,BROTH,GGGGG,0.0,0.0,LLM,0
44,VERDE,True,5,ARISE,-Y--G,4,4,VOI,TOURE,---YG,4,4,LLM,BYRNE,--G-G,3.0,3.0,VOI,MERLE,-GG-G,2.0,2.0,LLM,VERDE,GGGGG,0.0,0.0,VOI,,,,,,0
45,TAMED,True,4,EARLS,YG---,4,4,VOI,NAMED,-GGGG,1,1,LLM,FAMED,-GGGG,1.0,1.0,VOI,TAMED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
46,LEAFS,True,4,AROSE,Y--YY,5,5,VOI,MEALS,-GGYG,2,2,LLM,LEADS,GGG-G,1.0,1.0,VOI,LEAFS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
47,YACHT,True,3,EARLS,-G---,4,4,VOI,MACHO,-GGG-,2,2,LLM,YACHT,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
48,MESSY,True,4,REALS,-G--Y,4,4,VOI,SEIZE,YG---,4,4,LLM,PESTO,-GG--,3.0,3.0,VOI,MESSY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
49,RYDER,True,5,AROSE,-Y--Y,5,4,VOI,FIRED,--YGY,4,4,LLM,UNDER,--GGG,2.0,2.0,VOI,ELDER,--GGG,2.0,2.0,LLM,RYDER,GGGGG,0.0,0.0,VOI,,,,,,0
50,MOTIF,True,6,AROSE,--Y--,5,5,VOI,GOWDY,-G---,4,4,LLM,IONIC,-G-G-,3.0,3.0,VOI,POLIO,-G-G-,3.0,3.0,LLM,VOMIT,-GYGY,3.0,3.0,VOI,MOTIF,GGGGG,0.0,0.0,LLM,0
51,RAVEN,True,4,EARLS,YGY--,4,4,VOI,RATED,GG-G-,2,2,LLM,RAZER,GG-G-,2.0,2.0,VOI,RAVEN,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
52,REICH,True,4,AROSE,-Y--Y,5,5,VOI,RYDER,G--Y-,4,4,LLM,REBUT,GG---,3.0,3.0,VOI,REICH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
53,ICONS,True,3,EARLS,----G,4,4,VOI,CUNTS,Y-Y-G,4,3,LLM,ICONS,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
54,SILKY,True,5,RAISE,--YY-,5,5,VOI,ICONS,Y---Y,5,5,LLM,MISTY,-GY-G,3.0,3.0,VOI,SILLY,GGG-G,1.0,1.0,LLM,SILKY,GGGGG,0.0,0.0,VOI,,,,,,0
55,CARVE,True,6,AILES,Y--Y-,5,4,VOI,GRADE,-YY-G,4,4,LLM,MCRAE,-YGYG,3.0,3.0,VOI,CARPE,GGG-G,1.0,1.0,LLM,CARNE,GGG-G,1.0,1.0,VOI,CARVE,GGGGG,0.0,0.0,LLM,0
56,LAGER,True,4,RATES,YG-G-,3,3,VOI,MAREK,-GYG-,3,3,LLM,PALER,-GYGG,2.0,2.0,VOI,LAGER,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
57,JERKS,True,6,OATES,---YG,4,4,VOI,SLEDS,--Y-G,4,4,LLM,VENUS,-G--G,3.0,3.0,VOI,BERKS,-GGGG,1.0,1.0,LLM,PERKS,-GGGG,1.0,1.0,VOI,JERKS,GGGGG,0.0,0.0,LLM,0
58,LOTUS,True,4,AROSE,--YY-,5,5,VOI,FOLKS,-GY-G,3,3,LLM,BOILS,-G-YG,3.0,3.0,VOI,LOTUS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
59,LACEY,True,5,ARISE,Y---Y,5,5,VOI,TAMED,-G-G-,3,3,LLM,HAGEN,-G-G-,3.0,3.0,VOI,LAPEL,GG-G-,2.0,2.0,LLM,LACEY,GGGGG,0.0,0.0,VOI,,,,,,0
60,TUDOR,True,4,HARES,--Y--,5,5,VOI,CROFT,-YY-Y,5,5,LLM,INTRO,--YYY,5.0,5.0,VOI,TUDOR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
61,QUOTA,True,5,LANES,-Y---,5,5,VOI,WRATH,--YG-,4,4,LLM,AMITY,Y--G-,4.0,4.0,VOI,GOTTA,-Y-GG,3.0,3.0,LLM,QUOTA,GGGGG,0.0,0.0,VOI,,,,,,0
62,MOURN,True,3,HARES,--Y--,5,5,VOI,TUDOR,-Y-YY,5,5,LLM,MOURN,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
63,PROMO,True,5,ARISE,-G---,4,4,VOI,BROTH,-GG--,3,3,LLM,GROUP,-GG-Y,3.0,3.0,VOI,PROOF,GGGY-,2.0,2.0,LLM,PROMO,GGGGG,0.0,0.0,VOI,,,,,,0
64,CASTE,True,6,ARIES,Y--YY,5,4,VOI,PAUSE,-G-YG,3,3,LLM,HASTE,-GGGG,1.0,1.0,VOI,TASTE,-GGGG,1.0,1.0,LLM,WASTE,-GGGG,1.0,1.0,VOI,CASTE,GGGGG,0.0,0.0,LLM,0
65,CAPRI,True,3,RAISE,YGY--,4,4,VOI,MARIO,-GYY-,4,3,LLM,CAPRI,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,0
66,ALIAS,True,4,TASER,-YY--,5,5,VOI,USUAL,-Y-GY,4,4,LLM,SILAS,-YYGG,3.0,3.0,VOI,ALIAS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
67,PADDY,True,4,STALE,--Y--,5,5,VOI,CAPRI,-GY--,4,4,LLM,PADMA,GGG--,2.0,2.0,VOI,PADDY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
68,BLOBS,True,5,ELIAS,-G--G,3,3,VOI,GLOSS,-GG-G,2,2,LLM,PLOWS,-GG-G,2.0,2.0,VOI,BLOCS,GGG-G,1.0,1.0,LLM,BLOBS,GGGGG,0.0,0.0,VOI,,,,,,0
69,DILLY,True,5,LANES,Y----,5,5,VOI,POLIO,--GY-,4,4,LLM,WILLY,-GGGG,1.0,1.0,VOI,BILLY,-GGGG,1.0,1.0,LLM,DILLY,GGGGG,0.0,0.0,VOI,,,,,,0
70,GUTSY,True,2,OATES,--G-Y,4,4,VOI,GUTSY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
71,TABOR,True,5,ANISE,Y----,5,5,VOI,PRATT,-YYY-,5,5,LLM,TARDY,GGY--,3.0,3.0,VOI,TAMAR,GG--G,2.0,2.0,LLM,TABOR,GGGGG,0.0,0.0,VOI,,,,,,0
72,INLAY,True,4,RAISE,-YY--,5,5,VOI,ALAIN,YY-YY,5,4,LLM,FINAL,-YYGY,4.0,3.0,VOI,INLAY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
