game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,CRANE,-----,5,5,LLM,BOLUS,-Y---,5,5,CSS_REPAIR,PIVOT,G--YY,4,3,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,4,CRANE,-YY--,5,5,LLM,MARIA,-GG--,3,3,CSS_REPAIR,TARDY,YGG-G,2,2,CSS_REPAIR,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,2,CRANE,YG---,4,4,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
4,DIRTY,True,5,CRANE,-Y---,5,5,LLM,HORUS,--G--,4,4,CSS_REPAIR,KIRBY,-GG-G,2,2,LLM,GIRLY,-GG-G,2,2,LLM,DIRTY,GGGGG,0,0,LLM,,,,,
5,USUAL,True,4,CRANE,--Y--,5,5,LLM,MAILS,-Y-YY,5,5,CSS_REPAIR,TULSA,-YYYY,5,4,CSS_REPAIR,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,4,CRANE,-G---,4,4,LLM,TROUT,GG-Y-,3,3,LLM,TRUSS,GGG--,2,2,LLM,TRULY,GGGGG,0,0,LLM,,,,,,,,,,
7,SPENT,True,4,CRANE,---GY,4,4,LLM,LEUNG,-Y-G-,4,4,LLM,SPEND,GGGG-,1,1,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,3,ADIEU,Y--YY,5,4,LLM,USAGE,YYY-G,4,4,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,True,5,CRANE,GGG--,2,2,LLM,CRABB,GGG--,2,2,LLM,CRAPS,GGG--,2,2,LLM,CRAWL,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,LLM,,,,,
10,BASES,True,5,CRANE,--Y-Y,5,4,LLM,MALES,-G-GG,2,2,CSS_REPAIR,BAKES,GG-GG,1,1,LLM,BATES,GG-GG,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,
11,YOUNG,True,4,CRANE,---G-,4,4,LLM,STING,---GG,3,3,CSS_REPAIR,HYUNG,-YGGG,2,2,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,5,CRANE,--GGY,3,3,LLM,BEANS,-GGGG,1,1,LLM,JEANS,-GGGG,1,1,LLM,LEANS,-GGGG,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,
13,TRUTH,True,5,CRANE,-G---,4,4,LLM,BRISK,-G---,4,4,LLM,TROOP,GG---,3,3,LLM,TRULY,GGG--,2,2,LLM,TRUTH,GGGGG,0,0,LLM,,,,,
14,FIRED,True,5,CRANE,-Y--Y,5,5,LLM,ROLES,Y--G-,4,4,CSS_REPAIR,TIMER,-G-GY,3,3,LLM,WIRED,-GGGG,1,1,LLM,FIRED,GGGGG,0,0,LLM,,,,,
15,FOLKS,True,3,CRANE,-----,5,5,LLM,POLIS,-GG-G,2,2,CSS_REPAIR,FOLKS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
16,CHILE,True,4,CRANE,G---G,3,3,LLM,CHOKE,GG--G,2,2,LLM,CHIME,GGG-G,1,1,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,
17,BLACK,True,5,ADIEU,Y----,5,5,LLM,CARTS,YY---,5,5,CSS_REPAIR,LOCAL,Y-YY-,5,4,LLM,FLACK,-GGGG,1,1,LLM,BLACK,GGGGG,0,0,LLM,,,,,
18,GRANT,True,3,CRANE,-GGG-,2,2,LLM,FRANK,-GGG-,2,2,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
19,MEALS,True,5,CRANE,--G-Y,4,4,LLM,DEALT,-GGG-,2,2,LLM,HEALS,-GGGG,1,1,LLM,SEALS,-GGGG,1,1,LLM,MEALS,GGGGG,0,0,LLM,,,,,
20,CREAM,True,2,CRANE,GGY-Y,3,3,LLM,CREAM,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
21,AWAKE,True,4,CRANE,--G-G,3,3,LLM,SHALE,--G-G,3,3,LLM,QUAKE,--GGG,2,2,LLM,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,
22,OCCUR,True,4,CRANE,YY---,5,5,LLM,TORCH,-YYY-,5,4,LLM,SCOUR,-GYGG,2,2,LLM,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,False,6,CRANE,-YG-Y,4,4,LLM,HEART,-GGG-,2,2,LLM,PEARS,-GGGG,1,1,LLM,WEARS,-GGGG,1,1,LLM,BEARS,-GGGG,1,1,LLM,FEARS,-GGGG,1,1,LLM
24,GRADE,True,2,CRANE,-GG-G,2,2,LLM,GRADE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
25,CHILL,True,3,CRANE,G----,4,4,LLM,CHIPS,GGG--,2,2,LLM,CHILL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
26,FLOOD,True,3,CRANE,-----,5,5,LLM,LIMBS,Y----,5,5,CSS_REPAIR,FLOOD,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
27,APPLY,True,5,CRANE,--Y--,5,5,LLM,SALAH,-YY--,5,5,CSS_REPAIR,ALOFT,GY---,4,4,LLM,AMPLY,G-GGG,1,1,LLM,APPLY,GGGGG,0,0,LLM,,,,,
28,SMILE,True,3,CRANE,----G,4,4,LLM,STOLE,G--GG,2,2,CSS_REPAIR,SMILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
29,KNOCK,True,3,CRANE,Y--Y-,5,5,LLM,PINCH,--YG-,4,4,LLM,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
30,SLEEP,True,5,CRANE,----Y,5,5,LLM,SITED,G--G-,3,3,CSS_REPAIR,SHEEP,G-GGG,1,1,LLM,SWEEP,G-GGG,1,1,LLM,SLEEP,GGGGG,0,0,LLM,,,,,
31,BRICK,True,5,CRANE,YG---,4,4,LLM,TRICK,-GGGG,1,1,LLM,PRICK,-GGGG,1,1,LLM,FRICK,-GGGG,1,1,LLM,BRICK,GGGGG,0,0,LLM,,,,,
32,WROTE,True,4,CRANE,-G--G,3,3,LLM,PROBE,-GG-G,2,2,LLM,TROVE,YGG-G,2,2,LLM,WROTE,GGGGG,0,0,LLM,,,,,,,,,,
33,RATED,True,3,CRANE,-YY-Y,5,3,LLM,ASTER,Y-GGY,3,3,CSS_REPAIR,RATED,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
34,ALERT,True,3,CRANE,-YY-Y,5,5,LLM,ALTER,GGYYY,3,2,CSS_REPAIR,ALERT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
35,CAGES,True,4,CRANE,G-Y-Y,4,3,LLM,CASED,GGYG-,2,2,LLM,CAKES,GG-GG,1,1,LLM,CAGES,GGGGG,0,0,LLM,,,,,,,,,,
36,TEDDY,True,4,CRANE,----Y,5,5,LLM,STEED,-YY-Y,5,3,CSS_REPAIR,DEBIT,YG--Y,4,4,LLM,TEDDY,GGGGG,0,0,LLM,,,,,,,,,,
37,COLES,True,4,CRANE,G---Y,4,4,LLM,CODES,GG-GG,1,1,LLM,COMES,GG-GG,1,1,LLM,COLES,GGGGG,0,0,LLM,,,,,,,,,,
38,HWANG,True,3,CRANE,--GG-,3,3,LLM,SHANK,-YGG-,3,3,LLM,HWANG,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
