game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,SPARE,-Y---,5,5,LLM_RERANK,PHILO,GG--G,2,2,LLM_RERANK,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
2,PARTY,True,3,TEARS,Y-YY-,5,4,LLM_RERANK,MARTA,-GGG-,2,2,LLM_RERANK,PARTY,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
3,TRICK,True,3,RANGE,Y----,5,5,LLM_RERANK,CRUST,YG--Y,4,4,LLM_RERANK,TRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
4,DIRTY,True,3,NILES,-G---,4,4,LLM_RERANK,MIRTH,-GGG-,2,2,LLM_RERANK,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
5,USUAL,True,4,RATES,-Y--Y,5,5,LLM_RERANK,SLAIN,YYY--,5,4,LLM_RERANK,ASLAM,-GYG-,3,3,LLM_RERANK,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,3,TERMS,G-Y--,4,4,LLM_RERANK,TRIAL,GG--Y,3,3,LLM_RERANK,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
7,SPENT,True,4,REGIS,-Y--Y,5,5,LLM_RERANK,STEEL,GYG--,3,3,LLM_RERANK,SWEAT,G-G-G,2,2,LLM_RERANK,SPENT,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
8,PAUSE,True,4,MELTS,-Y--Y,5,5,LLM_RERANK,SIREN,Y--Y-,5,5,LLM_RERANK,CHASE,--YGG,3,3,LLM_RERANK,PAUSE,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
9,CRAZY,True,4,LOSER,----Y,5,5,LLM_RERANK,TRYNA,-GY-Y,4,4,LLM_RERANK,GRADY,-GG-G,2,2,LLM_RERANK,CRAZY,GGGGG,0,0,CSS,,,,,,,,,,
10,BASES,True,5,TRACE,--Y-Y,5,4,LLM_RERANK,LANES,-G-GG,2,2,LLM_RERANK,GAMES,-G-GG,2,2,LLM_RERANK,SAVES,YG-GG,2,2,LLM_RERANK,BASES,GGGGG,0,0,LLM_RERANK,,,,,
