game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,YATES,--Y--,5,5,LLM_RERANK,TIMOR,Y--Y-,5,5,LLM_RERANK,DOUBT,-Y--Y,5,5,LLM_RERANK,PHOTO,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
2,PARTY,True,4,ARNIE,YY---,5,4,LLM_RERANK,MARCO,-GG--,3,3,LLM_RERANK,TARDY,YGG-G,2,2,LLM_RERANK,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,4,SABER,----Y,5,5,LLM_RERANK,TURIN,G-YY-,4,3,LLM_RERANK,TWIRL,G-GY-,3,3,LLM_RERANK,TRICK,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
4,DIRTY,True,4,LEARN,---Y-,5,5,LLM_RERANK,TRIPS,YYY--,5,5,LLM_RERANK,BIRTH,-GGG-,2,2,LLM_RERANK,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,3,RAINE,-Y---,5,5,LLM_RERANK,CLAPS,-YY-Y,5,5,LLM_RERANK,USUAL,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
6,TRULY,True,4,CAINE,-----,5,5,LLM_RERANK,ROOTS,Y--Y-,5,5,LLM_RERANK,TRUMP,GGG--,2,2,LLM_RERANK,TRULY,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
7,SPENT,True,4,AIDEN,---YY,5,4,LLM_RERANK,STONE,GY-GY,3,3,LLM_RERANK,SCENT,G-GGG,1,1,LLM_RERANK,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,3,SALES,YG-Y-,4,4,LLM_RERANK,PARSE,GG-GG,1,1,LLM_RERANK,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,True,4,READS,Y-G--,4,4,LLM_RERANK,TRAIN,-GG--,3,3,LLM_RERANK,BRAGG,-GG--,3,3,LLM_RERANK,CRAZY,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
10,BASES,True,5,NOTES,---GG,3,3,LLM_RERANK,SALES,YG-GG,2,2,LLM_RERANK,GASES,-GGGG,1,1,LLM_RERANK,CASES,-GGGG,1,1,LLM_RERANK,BASES,GGGGG,0,0,LLM_RERANK,,,,,
11,YOUNG,True,4,CARES,-----,5,5,LLM_RERANK,LOGIN,-GY-Y,4,4,LLM_RERANK,JOONG,-G-GG,2,2,LLM_RERANK,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,4,LINES,--YYG,4,4,LLM_RERANK,EARNS,YY-GG,3,2,LLM_RERANK,JEANS,-GGGG,1,1,LLM_RERANK,MEANS,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
13,TRUTH,True,3,SLATE,---G-,4,4,LLM_RERANK,TINTO,G--G-,3,3,LLM_RERANK,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
14,FIRED,True,4,SAUCE,----Y,5,5,LLM_RERANK,TIRED,-GGGG,1,1,LLM_RERANK,HIRED,-GGGG,1,1,LLM_RERANK,FIRED,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
15,FOLKS,True,4,TAILS,---YG,4,4,LLM_RERANK,LOBES,YG--G,3,3,LLM_RERANK,FOLDS,GGG-G,1,1,LLM_RERANK,FOLKS,GGGGG,0,0,CSS,,,,,,,,,,
16,CHILE,True,5,SNAIL,---YY,5,4,LLM_RERANK,FILET,-YYY-,5,3,LLM_RERANK,GLIDE,-YG-G,3,3,LLM_RERANK,EXILE,--GGG,2,2,LLM_RERANK,CHILE,GGGGG,0,0,LLM_RERANK,,,,,
17,BLACK,True,6,STONE,-----,5,5,LLM_RERANK,LAURA,YY---,5,4,LLM_RERANK,GMAIL,--G-Y,4,4,LLM_RERANK,FLACK,-GGGG,1,1,LLM_RERANK,CLACK,-GGGG,1,1,LLM_RERANK,BLACK,GGGGG,0,0,CSS
18,GRANT,True,3,IRATE,-GGY-,3,3,LLM_RERANK,TRASK,YGG--,3,3,LLM_RERANK,GRANT,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
19,MEALS,True,3,PAINE,-Y--Y,5,5,LLM_RERANK,READS,-GG-G,2,2,LLM_RERANK,MEALS,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,
20,CREAM,True,4,SNORE,---YY,5,5,LLM_RERANK,LATER,-Y-YY,5,5,LLM_RERANK,DREAM,-GGGG,1,1,LLM_RERANK,CREAM,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
21,AWAKE,True,4,MATEO,-Y-Y-,5,4,LLM_RERANK,READS,-YG--,4,4,LLM_RERANK,PLANE,--G-G,3,3,LLM_RERANK,AWAKE,GGGGG,0,0,LLM_RERANK,,,,,,,,,,
22,OCCUR,True,3,REINA,Y----,5,5,LLM_RERANK,COURS,YYYY-,5,3,LLM_RERANK,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
