game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,HEALS,Y----,5,5,CSS,TORCH,YY--Y,5,5,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
2,PARTY,True,5,SIREN,--G--,4,4,CSS,MARCO,-GG--,3,3,CSS,DARLA,-GG--,3,3,CSS,BARTH,-GGG-,2,2,CSS,PARTY,GGGGG,0,0,CSS,,,,,
3,TRICK,True,4,RAIDS,Y-G--,4,4,CSS,TRIPE,GGG--,2,2,CSS,TRILL,GGG--,2,2,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,3,TAKES,Y----,5,5,CSS,NORTH,--GG-,3,3,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
5,USUAL,True,4,RATES,-Y--Y,5,5,CSS,SHANA,Y-Y--,5,4,CSS,ISSAC,-G-G-,3,3,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,5,AIDES,-----,5,5,CSS,GROOT,-G--Y,4,4,CSS,TRUNK,GGG--,2,2,CSS,TRUTH,GGG--,2,2,CSS,TRULY,GGGGG,0,0,CSS,,,,,
7,SPENT,True,2,OATES,--YYY,5,5,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
8,PAUSE,True,4,SITKA,Y---Y,5,5,CSS,MARES,-G-YY,4,4,CSS,LAPSE,-GYGG,2,2,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,False,6,SNAPE,--G--,4,4,CSS,CLARA,G-GY-,3,3,CSS,CRACK,GGG--,2,2,CSS,CRAIG,GGG--,2,2,CSS,CRABB,GGG--,2,2,CSS,CRAFT,GGG--,2,2,CSS
10,BASES,False,6,LANES,-G-GG,2,2,CSS,RATES,-G-GG,2,2,CSS,GASES,-GGGG,1,1,CSS,EASES,-GGGG,1,1,CSS,CASES,-GGGG,1,1,CSS,VASES,-GGGG,1,1,CSS
