game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,THINK,YG---,4,4,CSS_FROM_LLM,CHEST,-G--Y,4,4,CSS,PHOTO,GGGGG,0,0,CSS_FROM_LLM,,,,,,,,,,,,,,,
2,PARTY,True,4,THINK,Y----,5,5,CSS_FROM_LLM,AFTER,Y-Y-Y,5,4,CSS_FROM_LLM,STARS,-YYY-,5,4,CSS_FROM_LLM,PARTY,GGGGG,0,0,CSS_FROM_LLM,,,,,,,,,,
3,TRICK,True,2,THINK,G-G-G,2,2,CSS_FROM_LLM,TRICK,GGGGG,0,0,CSS_FROM_LLM,,,,,,,,,,,,,,,,,,,,
4,DIRTY,True,3,THINK,Y-Y--,5,5,CSS_FROM_LLM,FIRST,-GG-Y,3,3,CSS_FROM_LLM,DIRTY,GGGGG,0,0,CSS_FROM_LLM,,,,,,,,,,,,,,,
5,USUAL,True,4,THINK,-----,5,5,CSS_FROM_LLM,EARLY,-Y-Y-,5,5,CSS_FROM_LLM,SOCAL,Y--GG,3,3,CSS,USUAL,GGGGG,0,0,CSS_FROM_LLM,,,,,,,,,,
6,TRULY,True,6,STAND,-Y---,5,5,CSS_FROM_LLM,RIGHT,Y---Y,5,5,CSS_FROM_LLM,TOURE,G-GY-,3,3,CSS,TRUMP,GGG--,2,2,CSS_FROM_LLM,TRUCK,GGG--,2,2,CSS_FROM_LLM,TRULY,GGGGG,0,0,CSS
7,SPENT,True,4,HELPS,-Y-YY,5,5,CSS_FROM_LLM,SPEED,GGG--,2,2,CSS_FROM_LLM,SPECK,GGG--,2,2,CSS_FROM_LLM,SPENT,GGGGG,0,0,CSS_FROM_LLM,,,,,,,,,,
8,PAUSE,True,3,STAND,Y-Y--,5,5,CSS_FROM_LLM,MALES,-G-YY,4,4,CSS,PAUSE,GGGGG,0,0,CSS_FROM_LLM,,,,,,,,,,,,,,,
9,CRAZY,True,5,THINK,-----,5,5,CSS_FROM_LLM,WOULD,-----,5,5,CSS_FROM_LLM,EVERY,---YG,4,4,CSS_FROM_LLM,ARRAY,YG--G,3,3,CSS_FROM_LLM,CRAZY,GGGGG,0,0,CSS_FROM_LLM,,,,,
10,BASES,True,6,THINK,-----,5,5,CSS_FROM_LLM,CARES,-G-GG,2,2,CSS_FROM_LLM,SAVES,YG-GG,2,2,CSS_FROM_LLM,EASES,-GGGG,1,1,CSS_FROM_LLM,GASES,-GGGG,1,1,CSS_FROM_LLM,BASES,GGGGG,0,0,CSS_FROM_LLM
11,YOUNG,True,3,THINK,---G-,4,4,CSS_FROM_LLM,FOUND,-GGG-,2,2,CSS_FROM_LLM,YOUNG,GGGGG,0,0,CSS_FROM_LLM,,,,,,,,,,,,,,,
12,MEANS,True,4,WHICH,-----,5,5,CSS_FROM_LLM,START,Y-G--,4,4,CSS_FROM_LLM,PLANS,--GGG,2,2,CSS_FROM_LLM,MEANS,GGGGG,0,0,CSS_FROM_LLM,,,,,,,,,,
13,TRUTH,True,3,THINK,GY---,4,4,CSS_FROM_LLM,TORCH,G-Y-G,3,3,CSS,TRUTH,GGGGG,0,0,CSS_FROM_LLM,,,,,,,,,,,,,,,
14,FIRED,True,6,THINK,--Y--,5,5,CSS_FROM_LLM,ISSUE,Y---Y,5,5,CSS_FROM_LLM,MIXED,-G-GG,2,2,CSS_FROM_LLM,PILED,-G-GG,2,2,CSS,WIRED,-GGGG,1,1,CSS_FROM_LLM,FIRED,GGGGG,0,0,CSS_FROM_LLM
15,FOLKS,True,4,THERE,-----,5,5,CSS_FROM_LLM,SLOAN,YYY--,5,5,CSS,FOLDS,GGG-G,1,1,CSS_FROM_LLM,FOLKS,GGGGG,0,0,CSS_FROM_LLM,,,,,,,,,,
16,CHILE,True,4,THINK,-GG--,3,3,CSS_FROM_LLM,SHIPS,-GG--,3,3,CSS_FROM_LLM,WHICH,-GGY-,3,3,CSS_FROM_LLM,CHILE,GGGGG,0,0,CSS,,,,,,,,,,
17,BLACK,True,3,THINK,----G,4,4,CSS_FROM_LLM,BREAK,G--YG,3,3,CSS_FROM_LLM,BLACK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
18,GRANT,True,3,THINK,Y--G-,4,4,CSS_FROM_LLM,GAUNT,GY-GG,2,2,CSS,GRANT,GGGGG,0,0,CSS_FROM_LLM,,,,,,,,,,,,,,,
19,MEALS,True,5,THINK,-----,5,5,CSS_FROM_LLM,EARLY,YY-G-,4,3,CSS_FROM_LLM,BEALE,-GGG-,2,2,CSS,SEALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,CSS_FROM_LLM,,,,,
20,CREAM,True,6,THINK,-----,5,5,CSS_FROM_LLM,LARUE,-YY-Y,5,5,CSS,READY,YYY--,5,3,CSS_FROM_LLM,SWEAR,--GGY,3,3,CSS_FROM_LLM,BREAM,-GGGG,1,1,CSS_FROM_LLM,CREAM,GGGGG,0,0,CSS_FROM_LLM
21,AWAKE,True,4,THINK,----Y,5,5,CSS_FROM_LLM,SMOKE,---GG,3,3,CSS_FROM_LLM,QUAKE,--GGG,2,2,CSS_FROM_LLM,AWAKE,GGGGG,0,0,CSS_FROM_LLM,,,,,,,,,,
22,OCCUR,True,4,THINK,-----,5,5,CSS_FROM_LLM,CLUES,Y-Y--,5,4,CSS_FROM_LLM,YUCCA,-YGY-,4,4,CSS_FROM_LLM,OCCUR,GGGGG,0,0,CSS_FROM_LLM,,,,,,,,,,
23,YEARS,True,5,THINK,-----,5,5,CSS_FROM_LLM,LOSER,--YYY,5,5,CSS,SEARS,-GGGG,1,1,CSS,BEARS,-GGGG,1,1,CSS_FROM_LLM,YEARS,GGGGG,0,0,CSS_FROM_LLM,,,,,
