game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,LEAST,----Y,5,5,LLM,TINTO,---GG,3,3,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
2,PARTY,True,4,GUESS,-----,5,5,LLM,NORAH,--GY-,4,4,CSS,MARTY,-GGGG,1,1,CSS,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,4,AFTER,--Y-Y,5,5,LLM,TORUS,G-Y--,4,4,CSS,TRILL,GGG--,2,2,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,4,THINK,Y-Y--,5,5,LLM,RITES,YGY--,4,4,CSS,VIRAT,-GG-Y,3,3,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,4,WORDS,----Y,5,5,LLM,LEAST,Y-YY-,5,5,CSS,SALMA,YYY--,5,4,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,4,THINK,G----,4,4,LLM,TEARS,G--Y-,4,4,CSS,TUMOR,GY--Y,4,4,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,3,THINK,Y--G-,4,4,LLM,GAUNT,---GG,3,3,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
8,PAUSE,True,4,BEING,-Y---,5,5,LLM,LOSER,--YY-,5,4,CSS,SPATE,YYY-G,4,3,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,4,OTHER,----Y,5,5,LLM,RAILS,YY---,5,4,CSS,BRAND,-GG--,3,3,CSS,CRAZY,GGGGG,0,0,CSS,,,,,,,,,,
10,BASES,True,5,WORDS,----G,4,4,LLM,SALES,YG-GG,2,2,CSS,VASES,-GGGG,1,1,CSS,GASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,CSS,,,,,
11,YOUNG,True,3,THING,---GG,3,3,LLM,ALONG,--YGG,3,3,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
12,MEANS,True,4,REARX,-GG--,3,3,LLM,LEAST,-GGY-,3,3,CSS,BEAMS,-GGYG,2,2,CSS,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,3,THIRD,GY-Y-,4,4,LLM,TRASH,GG--G,2,2,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
14,FIRED,True,4,BEING,-YY--,5,5,LLM,RITES,YG-G-,3,3,CSS,DIVER,YG-GY,3,3,CSS,FIRED,GGGGG,0,0,CSS,,,,,,,,,,
15,FOLKS,True,4,THERM,-----,5,5,LLM,KILNS,Y-G-G,3,3,CSS,YOLKS,-GGGG,1,1,CSS,FOLKS,GGGGG,0,0,CSS,,,,,,,,,,
