game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,THERE,YG---,4,4,LLM,SHOUT,-GG-Y,3,3,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
2,PARTY,True,4,RIGHT,Y---Y,5,5,LLM,TEARS,Y-YY-,5,4,CSS,AORTA,Y-GG-,3,3,CSS,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,5,VOWEL,-----,5,5,LLM,HAIRS,--GY-,4,4,CSS,PRINT,-GG-Y,3,3,CSS,FRITZ,-GGY-,3,3,CSS,TRICK,GGGGG,0,0,CSS,,,,,
4,DIRTY,True,3,WORDS,--GY-,4,4,LLM,DARIA,G-GY-,3,3,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
5,USUAL,True,4,WORDS,----Y,5,5,LLM,SAINT,YY---,5,5,CSS,LHASA,Y-YY-,5,5,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,3,LEAST,Y---Y,5,5,LLM,TILLY,G--GG,2,2,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
7,SPENT,True,3,ABOUT,----G,4,4,LLM,ERNST,Y-YYG,4,4,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
8,PAUSE,True,4,WORDS,----Y,5,5,LLM,TESLA,-YY-Y,5,5,CSS,SNAPE,Y-YYG,4,4,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,5,ABOUT,Y----,5,5,LLM,LEADS,--G--,4,4,CSS,CRAIG,GGG--,2,2,CSS,CRACK,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,
10,BASES,True,6,WORDS,----G,4,4,LLM,LANES,-G-GG,2,2,CSS,CATES,-G-GG,2,2,CSS,SAGES,YG-GG,2,2,CSS,EASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,CSS
11,YOUNG,True,4,WORDS,-G---,4,4,LLM,COLIN,-G--Y,4,4,CSS,TONNE,-G-G-,3,3,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
